Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Daisy	4	2.597%	8	15	16.7980941	19	20	2.8147652	77	105	115.3519446	126	161	14.6921211	6	32.2751479	46.5775895	56.3210059	150	20.0122567	0	3	4.6649981	6	12	1.9100436	1.8509819	
Daisy	3	11.132%	6	13	15.3716221	18	20	3.5354874	66	95	104.5337765	114	156	13.6522184	6	36	50.7815307	61.684632	153	20.465023	0	3	4.1644808	5	11	1.8354378	2.0328782	
Daisy	2	22.722%	5	10	13.3806206	17	20	4.3788997	62	82.9405562	90.4628554	98	123	10.761134	6	37.9753645	52.3306047	63.4113127	189	20.5205628	0	2	3.3756712	4	11	1.6949792	2.3720623	
Daisy	1	40.135%	4	6	10.0285431	13	20	4.5888081	60	72	78.3699763	84.6938203	100	7.5839182	9	39.4330582	54.1307587	65.1999367	195	20.4213751	0	2	2.7116482	4	10	1.527277	2.6735268	
Daisy	0	23.414%	1	1	1	1	1	0	60	65	66.599086	68	75	2.09448	9	42.7174251	57.6677629	69.1042957	214	20.9395263	0	1	2.3217306	3	9	1.3872814	2.8298027	
Bowser Jr	4	4.06%	6	14	16.2648832	19	20	3.1295073	56	109.9938017	122.9844828	136	188	19.0760987	6	34	47.6935961	58	138	19.3402311	0	4	4.9697044	6	13	1.935364	1.73867	
Bowser Jr	3	15.133%	4	12	14.7938311	18	20	3.8614114	45	99.307971	112.0331065	124.419205	186	18.5318114	7	38.6153135	53.1537699	64.4049924	177	20.5208482	0	3	4.5250776	6	13	1.9451905	1.8972444	
Bowser Jr	2	27.755%	3	8	11.9969967	16	20	4.7505298	42	85	96.5456674	108	164	16.7714713	7	39.8838607	54.2421546	65.4251923	179	20.5020867	0	2	3.7299225	5	11	1.8236373	2.2129346	
Bowser Jr	1	34.66%	2	2	6.6389815	10	20	5.3746826	29	71.4517607	82.1080496	92.824483	146	15.3267568	6	39.9574326	54.4503462	65.4539443	189	20.445652	0	2	2.9489613	4	10	1.641171	2.5651471	
Bowser Jr	0	18.392%	1	1	1	1	1	0	23	59	67.939702	76	119	12.8293542	12	42	56.6499021	67.7765214	185	20.5731182	0	1	2.3978904	3	9	1.4528668	2.8199761	
Bowser	4	2.007%	6	15	16.6833467	19	20	2.8767397	71	131	148.3856502	165.2923977	227	25.1557332	4	35	48.7688092	59	155	19.3591231	0	3	4.7897359	6	12	2.064393	1.8744395	
Bowser	3	8.359%	4	13	15.529809	18	20	3.4830464	52	120	137.0072975	154	239	24.75077	6	38.7329222	53.1134107	64.3633658	167	20.7314518	0	3	4.5257806	6	12	2.1031026	1.9767915	
Bowser	2	19.944%	3	10	13.3802705	17	20	4.3784776	39	104.8988878	120.5094264	135.9626631	201	22.826791	3	38.5347775	53.0793221	64.436493	171	20.5838449	0	2	3.8863317	5	13	2.0215609	2.2330525	
Bowser	1	31.204%	2	5	9.317635	13	20	5.2180698	23	91.1570997	106.0382643	120.818336	187	21.5517538	3	37	51.9316113	63.6082984	187	20.721275	0	2	3.2275349	4	13	1.8845381	2.5182989	
Bowser	0	38.486%	1	1	1	1	1	0	19	77	90.9820714	104	166	19.7595427	3	32	46.7764122	57.9255202	213	20.2606008	0	1	2.5270748	4	10	1.676876	2.8877774	
Boo	4	4.955%	5	14	15.9907576	19	20	3.3590772	72	129.4090909	143.1291625	157	215	20.0457063	3	35	48.605449	59.0787879	145	19.3914149	0	3	4.8090817	6	14	2.0337908	1.8512614	
Boo	3	17.837%	4	11	14.0850737	17.9836566	20	4.1572612	57	118	131.1575377	144	209	19.1454589	3	39	53.5971856	65	171	20.5407128	0	3	4.5468969	6	12	2.030877	1.9112519	
Boo	2	28.864%	2	6	10.7273889	15	20	5.1204084	40	102.8581422	114.4498683	126.4882486	177	17.4212946	0	39	53.7744595	65.8118774	172	20.7462427	0	2	3.8122228	5	12	1.9170203	2.2135879	
Boo	1	28.91%	1	1	4.5645682	6	20	5.1134798	40	88	98.7210308	109.9688967	157	15.8164313	3	38.6155556	53.3255275	64.9978003	177	21.1145166	0	2	3.0454514	4	11	1.76201	2.5531996	
Boo	0	19.434%	1	1	1	1	1	0	26	69.9938838	78.6977977	88	123	13.3251316	0	30.2732495	44.980035	56.218984	182	20.2952457	0	1	2.1177318	3	9	1.4745732	3.0615931	
Diddy Kong	4	1.03%	8	16	17.1551052	19	20	2.6195699	55	109	123.723301	138	187	21.2204824	5	39	53.3980583	64.875	162	20.4264438	0	4	5.4320388	7	12	2.0429235	1.6135922	
Diddy Kong	3	5.158%	6	14	16.0210084	19	20	3.2763592	38	98	111.8962776	126	201	20.2084691	10	41	56.0663048	67.4234725	171	20.9481039	0	3.6263736	4.878829	6	12	1.9314176	1.769872	
Diddy Kong	2	14.141%	4	11	14.1373407	18	20	4.1522891	24	84	97.047875	109	161	18.6153464	6	40.7451453	55.5155222	67.0537582	196	20.8083816	0	3	4.0060109	5	11	1.8136914	2.0949721	
Diddy Kong	1	29.746%	2	6	10.85997	15	20	5.2786254	28	71	82.9607342	94.5484495	152	17.1449264	3	38	53.0349627	64.8443788	187	20.7800477	0	2	3.119411	4	11	1.6333965	2.4838298	
Diddy Kong	0	49.925%	1	1	1	1	1	0	7	56	66.6387381	77	133	15.5567047	5	33	47.0221733	57	183	19.6761687	0	1	2.2330295	3	10	1.3987686	2.9290135	
Donkey Kong	4	1.44%	7	15	16.9242175	19	20	2.7116141	47	107	124.9368056	141.8611111	213	25.2260509	6	46.3333333	61.7569444	74	154	21.399749	0	4	5.5583333	7	12	2.0553284	1.5569444	
Donkey Kong	3	6.42%	5	13	15.7354962	18.9319048	20	3.3536865	35	95.4178404	113.2428349	130	200	25.2382492	12	50	65.7605919	78.3098592	186	22.4802753	0	4	5.0383178	6	13	2.0483476	1.7185358	
Donkey Kong	2	15.858%	3	10	13.4898811	17	20	4.2202869	26	79.9828014	96.844621	112.9360368	193	24.2374889	6	48.8714921	64.6038593	77.2376543	209	22.614144	0	3	4.172342	5	13	1.93311	2.0269265	
Donkey Kong	1	25.566%	2	5	8.9038227	12.6048864	20	5.0638407	20	65.9699074	81.8070875	97.3156528	167	23.1966048	2	45.0517164	61.1549714	73.9883213	209	22.7811268	0	2	3.3691622	4.322712	12	1.7768167	2.3698271	
Donkey Kong	0	50.716%	1	1	1	1	1	0	0	50	63.0702342	80	150	20.9301575	0	35	49.6265281	60.9480108	189	20.6740833	0	2	2.7099929	4	13	1.573304	2.681284	
Dry Bones	4	2.043%	7	15	16.9354963	19	20	2.7657501	59	107	120.2545277	133	185	19.0023525	6	32	46.8546256	57	152	20.0790633	0	4	4.8624572	6	12	1.911189	1.7816936	
Dry Bones	3	9.383%	5	13.7759283	15.7907404	19	20	3.3467115	54	96.8969489	108.9033358	120.9988148	179	17.3764463	6	37.2754873	51.8723223	62.981737	167	20.2264887	0	3	4.4212938	6	12	1.8825026	1.9304061	
Dry Bones	2	24.417%	4	10.4960908	13.762771	17	20	4.150295	33	83	94.5805381	105.4692191	153	15.7512583	6	39	53.4866282	64.4271461	176	20.1872809	0	2	3.6436499	5	12	1.77965	2.2446656	
Dry Bones	1	38.225%	3	5	9.7206621	13.5546248	20	4.9356343	31	71.0976705	81.1723741	90.5504357	135	13.6725943	8	41	55.2538914	66.0951501	198	20.4113287	0	2	2.9588489	4	10	1.6006561	2.5539568	
Dry Bones	0	25.932%	1	1	1	1	1	0	30	64.6490523	70.0593861	76.3668929	110	10.8699358	14	45	59.8088462	70.9966618	178	20.7257098	0	1	2.498766	3	10	1.4682217	2.740745	
Goomba	4	3.079%	5	14	16.2067355	19	20	3.2293948	53	108.0224609	120.3319259	133.0107422	181	18.6307409	13	45	58.9506333	70.0117188	164	19.615751	0	4	5.3494641	7	12	1.9435001	1.5979214	
Goomba	3	12.026%	4	12	14.5813307	18	20	3.9903752	47	95.2403771	108.1426908	120.8337658	178	18.315647	15	48.3561469	63.0029104	74.0219468	203	20.8061362	0	3	4.7309995	6	13	1.938665	1.7917013	
Goomba	2	22.517%	2	8	11.9710808	16	20	4.9614551	29	79	90.242972	101.7350696	145	16.2544274	15	47.5083515	62.7769241	74.6246243	199	21.220685	0	2.0239817	3.730648	5	12	1.7778844	2.1749789	
Goomba	1	30.086%	1	1.8006265	7.3971909	12	20	5.9405536	20	64	74.2738815	84	131	14.1659489	14	46.2387387	61.5998139	72.9434267	195	21.1179234	0	2	2.8901482	4	11	1.5845295	2.5462674	
Goomba	0	32.292%	1	1	1	1	1	0	17	51	58.1820575	65	97	10.3715813	14	42	56.701474	66.9670735	219	20.0470432	0	1	2.1974173	3	9	1.3619248	2.8942772	
