Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Donkey Kong	1	20.2323%	1	3	5.4100819	6.9997543	20	3.8046545	10	67.8343235	84.0966296	100.9968171	195	24.3513391	0	51.9995133	67.9991281	80.9911463	217	22.6752792	0	2	3.0319509	4	13	1.6574353	2.4223544	
Donkey Kong	2	33.13028%	3	9	12.0106133	15	20	4.0241202	17	81.8246543	98.2292344	114.8594753	223	24.4259458	4	53.9997903	69.6547207	81.9980785	218	22.0542365	0	2	3.4842108	5	14	1.8073088	2.2151096	
Donkey Kong	3	21.76196%	4	13	15.2026563	18	20	3.3229345	25	93.9989953	110.9711947	127.3656525	227	24.5403069	3	53	68.7079565	80.9970394	220	21.846936	0	3	4.0432985	5	14	1.9059632	1.9778577	
Donkey Kong	4	11.06278%	6	15	16.8670063	19	20	2.6132183	35	108.649368	126.1119972	142.9945583	262	25.3621269	7	51.4968195	66.8898704	78.9882081	212	21.6065914	0	3	4.7198426	6	14	1.9641723	1.7250348	
Goomba	0	22.38252%	1	1	1	1	1	0	8	50	57.2700965	64	105	10.3878941	14	47	61.314306	71.9869329	206	20.1625331	0	1	1.9246698	3	9	1.2956516	2.9855074	
Goomba	1	26.75364%	1	3	7.8176514	12	20	5.590888	10	62.9989029	73.0040077	82.9978379	132	14.161158	12	51	66.312421	77.8833264	208	21.1368806	0	1	2.3857681	3	11	1.4754654	2.747138	
Goomba	2	25.93328%	3	8	12.2021322	16	20	4.7181321	25	76.9969573	88.5047244	99.9988904	157	16.5522059	8	51.9991915	67.0466497	78.2808468	225	21.0698962	0	2	2.9513367	4	12	1.6602239	2.4719488	
Goomba	3	15.46874%	4	12	14.5707012	18	20	3.9605378	35	90.3605393	103.1296085	115.6909264	177	18.075425	11	51	66.2724424	77.684953	213	21.0146961	0	2	3.6427712	5	14	1.8168847	2.1556378	
Goomba	4	9.46182%	5	14	16.0490054	19	20	3.262207	47	107.2789418	121.186239	134.9960731	202	19.9094937	9	50	64.9001799	75.999223	208	20.9242303	0	3	4.4874665	6	13	1.9070236	1.8127062	
Dry Bones	0	7.8837%	1	1	1	1	1	0	30	60	67.3107551	75	110	10.8022783	17	53	67.3244923	77.9878732	203	20.2428561	0	1	2.3429253	3	10	1.4137603	2.7572155	
Dry Bones	1	26.01358%	1	1	5.6573781	9	20	5.1455765	30	74.9998709	86.1099418	96.9979149	145	15.7252086	6	46.2573339	60.9502675	71.9974655	204	20.4619755	0	2	2.7157892	4	12	1.5562532	2.6201584	
Dry Bones	2	29.4529%	3	7	11.0907103	15	20	4.9270964	33	89.1227272	101.64694	113.9988152	176	17.6388488	3	44.1920365	58.9722431	69.9957086	207	20.4167696	0	2	3.2917444	4	12	1.7197835	2.353572	
Dry Bones	3	22.05222%	4	10.8640869	13.7440484	17	20	4.2695628	37	102.4044144	115.8400941	128.9990739	197	19.2102776	4	42.9995415	57.6020627	68.7108357	205	20.4754857	0	3	3.9089099	5	13	1.8326095	2.0778189	
Dry Bones	4	14.5976%	5	13.6656676	15.7716995	18.9999091	20	3.3838654	49	121.4879433	135.8109004	149.9999253	217	20.6463018	2	40.997035	55.4256741	66.6338158	193	20.4930567	0	3	4.7119938	6	14	1.868189	1.7513728	
Hammer Bro	0	10.63098%	1	1	1	1	1	0	14	47	54.0495345	61	96	9.7435315	17	52.9999275	67.4491797	77.9965226	213	20.3948028	0	1	1.9405097	3	10	1.2898484	2.9555939	
Hammer Bro	1	28.16326%	2	2	7.0830402	10	20	5.0759756	14	61	70.996744	80.9974728	124	13.7842517	12	53.3064847	68.3415102	79.6533335	225	20.9915858	0	1	2.3429965	3	10	1.452266	2.7664915	
Hammer Bro	2	30.27116%	3	8	12.0448187	16	20	4.5784923	19	74.824731	85.7265272	96.9975612	146	15.7742603	6	51.9997631	66.869195	77.9988702	215	20.9477894	0	2	2.8498505	4	12	1.6239466	2.5206956	
Hammer Bro	3	19.37318%	4	11.7934352	14.4834716	18	20	3.9430855	27	87.6005751	99.3732325	111	172	17.1500995	9	50	64.9921665	75.9979918	205	20.7812422	0	2	3.4881759	5	14	1.7706227	2.225295	
Hammer Bro	4	11.56142%	5	14	16.1315565	19	20	3.1633503	40	104.9919012	117.328733	129.9951082	191	18.4844994	4	48	62.7674507	73.9913983	213	20.6440989	0	3	4.3234049	5.9985453	14	1.8643381	1.8743459	
Koopa	0	9.37784%	1	1	1	1	1	0	26	57	67.4589436	76.1338692	140	13.8373774	9	48.2188441	63.0457163	73.9867038	201	20.4719131	0	1	2.3344032	3	10	1.4067312	2.783609	
Koopa	1	30.44338%	1	5	8.0670041	11	20	4.6563457	27	68.9999243	80.3132957	90.9936598	170	15.9416025	6	45.9993613	60.6232764	71.6152163	201	20.6055204	0	1.9318014	2.6215913	4	12	1.5235423	2.6718498	
