Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	4	4.752%	5	14	15.9917748	19	20	3.2705576	71	129	142.2436869	156.0972222	201	19.6899783	3	34	47.4612795	58	148	19.4212174	0	3	4.7613636	6	12	2.0188186	1.8905724	
Boo	0	21.464%	1	1	1	1	1	0	28	70	78.8103802	88	126	13.1425182	0	27.9805423	42.137719	53.0688586	168	20.1284323	0	1	2.0673686	3	9	1.4388483	3.1106038	
Boo	1	28.93%	1	1	4.849674	7	20	5.3488701	37	87.3025	98.1711027	109	151	15.7293113	3	36	50.938887	62.5188487	185	20.8729139	0	2	3.0129278	4	12	1.7403645	2.6015209	
Boo	2	27.656%	2	6.5651477	10.8960206	15	20	5.0803678	44	102	113.9092421	126	167	17.4755234	3	38	52.312048	64	173	20.5683606	0	2	3.7789991	5	12	1.9208865	2.2611368	
Boo	3	17.198%	4	11	14.1721185	18	20	4.1076834	62	118	130.5534364	143	196	18.810756	6	38	52.1501337	63.0088315	170	20.2293719	0	3	4.5064542	6	13	1.9846894	1.9404582	
Bowser	4	1.93%	7	15	16.6369583	19	20	2.8934202	72	134	148.7896373	164	225	23.8716407	9	34.078125	48.2528497	58.515625	154	19.5956087	0	3	4.838342	6	12	2.0749633	1.8839378	
Bowser	0	39.346%	1	1	1	1	1	0	21	77	90.8581813	104	166	19.7119323	1	31.3189655	45.708382	56.5337762	156	20.0879224	0	1	2.5700707	4	10	1.6768895	2.8968637	
Bowser	1	31.182%	2	5	9.4959607	14	20	5.263528	30	91	105.6680136	120.0805369	184	21.3822693	5	36	50.1901738	61.1998913	190	20.2815554	0	2	3.2072349	4	12	1.878645	2.5748829	
Bowser	2	19.234%	3	10	13.3563382	17	20	4.390898	43	105.0703125	120.6302381	135.8995995	212	22.5877217	6	37	51.6221275	63	188	20.4632754	0	2	3.8805241	5	13	2.0030579	2.2662993	
Bowser	3	8.308%	4	13	15.5190467	18	20	3.4401617	63	120.8949495	137.1639384	153.8115942	226	24.1203917	6	38	52.0847376	63.8115942	138	20.0998241	0	3	4.5510351	6	12	2.1049544	2.0074627	
Bowser Jr	4	4.068%	6	14	16.2509321	19	20	3.1080542	55	110.315	123.0663717	136	183	18.9914595	6	32.21	46.619469	57.76	149	19.1218659	0	4	5.020649	6	13	1.963924	1.7531957	
Bowser Jr	0	18.44%	1	1	1	1	1	0	29	59	68.0013015	76	121	12.6584448	12	41	55.2182213	66	166	20.1755606	0	1	2.4725597	3	8	1.4729689	2.8140998	
Bowser Jr	1	34.18%	2	2	6.6333497	10	20	5.3745076	32	71	81.9352838	92.2496907	142	15.4242603	3	39	53.1675834	64	162	19.8757404	0	2	3.0419544	4	11	1.638816	2.5471621	
