Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	2	8.2186%	4	11	14.0455251	17.9823045	20	4.1340966	41	96	107.8177305	119.5028497	166	16.9754768	3	24	34.370209	41.6235486	144	15.1043233	0	1.9192981	2.6354367	4	11	1.5336766	2.2970092	
Boo	3	1.9082%	5	14	15.8455383	19	20	3.3213958	57	107.6336336	120.0772456	132.5525162	190	18.2150164	3	24	35.5393565	43.0404255	118	15.5904724	0	2	2.8495965	4	9	1.5575859	2.1447437	
Boo	4	0.5662%	6	15	16.7269516	19	20	2.8190409	67	120.8839286	134.6856235	148.7589286	200	19.790337	3	24	35.7961851	44.1109694	121	16.7632695	0	2	2.9364182	4	11	1.5664438	2.1151537	
Dry Bones	0	35.467%	1	1	1	1	1	0	20	60	67.9363916	75	115	11.1076119	3	31.1623814	39.5526489	44.057154	131	13.4591199	0	1	1.6074097	2	10	1.2679075	2.5787521	
Dry Bones	1	43.0924%	2	3	8.6681574	13	20	5.6280928	27	74.9892177	85.5765425	96	146	15.1503738	0	29.7547619	39.2248703	45.5736822	136	14.9025299	0	1	2.4887637	3	11	1.473016	2.2685392	
Dry Bones	2	15.9798%	4	9	12.7288322	17	20	4.867615	39	89	101.5684677	114	161	17.4780498	3	28	38.6790698	45.9753387	135	15.4103984	0	2	2.9953316	4	10	1.5544988	2.0048061	
Dry Bones	3	4.2056%	5	12	14.9904776	18	20	3.7591744	49	104	116.851674	130.0837377	182	18.8581985	3	28.4251761	39.5468899	47.1366195	139	16.0652985	0	2	3.2519498	4	10	1.6078791	1.8598535	
Dry Bones	4	1.2552%	6	14	16.1365519	19	20	3.2265227	71	117.945993	132.000956	147	204	20.1842059	0	26	38.5395156	48	126	17.2578355	0	2	3.332696	4	10	1.5946518	1.8100701	
Goomba	0	62.9566%	1	1	1	1	1	0	11	52	59.0556161	66	102	10.3232111	9	33	42.260014	47	140	14.0244201	0	1	1.6963495	2	8	1.2473941	2.6293256	
Goomba	1	24.4896%	2	5	9.9063315	14.9974044	20	5.5136543	22	64.9745558	74.2839001	83.9958395	128	13.6708772	9	36	46.6422155	53.9840793	145	15.5496804	0	1	2.3525987	3	9	1.41898	2.3126388	
Goomba	2	9.761%	4	10	13.7181252	17.4621331	20	4.33801	35	77.9870305	88.8040979	99.8446341	146	15.5378576	6	36	46.4816515	53.9071069	142	15.6687138	0	2	2.8322918	4	11	1.5469718	2.0513882	
Goomba	3	2.2694%	5	13	15.6677886	19	20	3.4096543	45	90.4850352	102.6907553	114.4753521	159	16.8681214	10	35	46.1626862	54	135	16.0613021	0	2	3.1848066	4	10	1.6098057	1.8706266	
Goomba	4	0.5234%	7	15	16.8215514	19	20	2.7366702	61	104	116.8097058	129.0621302	173	17.9864428	11	33.9423077	45.5185327	54.5414201	132	16.5832893	0	2	3.3183034	4	9	1.634769	1.7776079	
Hammer Bro	0	54.2654%	1	1	1	1	1	0	16	49.7061772	56.2956396	63	100	9.9010641	9	39	47.3707851	52	142	14.006068	0	1	1.7252946	2	9	1.2413181	2.5149617	
Hammer Bro	1	30.9074%	2	5	9.6787378	14	20	5.3426072	21	60.6957673	70.1369316	79.5468307	123	13.4186739	9	36	45.6347994	51.9950759	146	15.0493575	0	1	2.3565619	3	10	1.4209574	2.2888693	
Hammer Bro	2	11.2276%	4	11	14.0184391	17.977679	20	4.1390655	33	74	84.7050839	95.0110174	140	15.0317828	6	34.9722906	45.1231608	52	150	15.547861	0	2	2.8125156	4	10	1.5432287	2.0682782	
Hammer Bro	3	3.0104%	7	13	15.6495166	18.3414352	20	3.3432644	45	85.549761	97.3601515	109	155	16.5998069	6	33	44.3318496	51.8777925	136	15.7863287	0	2	3.0017938	4	10	1.5872815	1.9532288	
Hammer Bro	4	0.5892%	8	15	16.9046164	19	20	2.6870106	55	100	112.2668024	125	169	17.4125328	9	32	43.2688391	51.1422222	127	16.4365418	0	2	3.2053632	4	9	1.610256	1.8625255	
Koopa	0	54.0064%	1	1	1	1	1	0	26	56.1392531	66.4369297	75	138	13.9345763	3	31.8753371	40.9325006	46.9925721	141	14.5602758	0	1	1.8923868	3	10	1.3067364	2.5177016	
