Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	2	7.5884%	4	9	12.923716	17	20	4.4992165	40	100	112.1935322	124.9129058	176	17.9626836	3	24	33.1283274	39	121	13.4325128	0	2	2.8418903	4	11	1.5247722	2.2116652	
Boo	3	1.704%	5	12	15.1259405	18	20	3.5745744	49	112.4591837	125.5298122	138.9326531	187	19.1482247	3	24	33.171831	39	110	13.2435405	0	2	3.0307512	4	9	1.5460059	2.1102113	
Boo	4	0.5288%	6	14	16.204236	19	20	3.1031018	80	127.0887574	140.6698185	154.9201183	199	19.9018654	6	23	31.0718608	36.7869822	102	12.8163796	0	2	2.9107413	4	9	1.4956992	2.1603631	
Boo	0	72.8938%	1	1	1	1	1	0	20	70	79.1666671	88	130	13.1581168	0	21	29.995857	36	123	13.4638851	0	1	1.8704581	3	11	1.309414	2.8737478	
Boo	1	17.285%	2	3.0121284	8.7263062	13	20	5.6078705	27	85.6771114	96.7567486	108	160	16.2093946	3	22.9901335	31.8327104	38.4237489	127	13.5521284	0	1	2.4892334	3	10	1.4712842	2.4602488	
Bowser	2	13.589%	4	10	13.2224707	17	20	4.2265467	38	105.6856019	121.5112076	137.3023753	213	23.1938605	3	24	32.9227905	39	121	12.9716384	0	1	2.542998	3	11	1.4892191	2.4083008	
Bowser	3	4.3636%	5	12	14.8054697	18	20	3.7434318	60	120.0121214	137.2253644	153.9569958	235	24.6786041	3	23	31.4724539	37.1569095	119	12.8433876	0	2	2.6915849	4	10	1.5049598	2.3170776	
Bowser	4	1.4576%	6	14	16.1285675	19	20	3.0962987	71	136.7141001	155.215697	173	249	26.0352578	3	21	29.2880077	35	101	12.2681823	0	2	2.7125412	4	8	1.4964637	2.3209385	
Bowser	0	52.1284%	1	1	1	1	1	0	4	76.9954831	90.8570146	103.9732455	176	19.8316341	0	19.3388054	27.8543404	33.6957129	127	12.7475121	0	1	1.8830196	3	9	1.3610601	2.8923619	
Bowser	1	28.4614%	3	7	10.75014	14.2217427	20	4.7259345	15	91.964637	106.8092926	121.8093142	196	21.7682311	0	24	33.484818	40	123	13.5980466	0	1	2.3069561	3	10	1.4642532	2.5713914	
Bowser Jr	2	8.9472%	3	11	13.8578292	17	20	4.2274244	36	81.9662506	94.1860694	106	174	17.418148	3	26.0949723	35.6706232	41.3492984	132	14.7185609	0	2	2.9812232	4	11	1.536573	2.0460926	
Bowser Jr	3	2.4268%	5	13	15.1933295	18	20	3.6362533	49	93	107.7452612	121.028838	176	19.9810764	3	24	33.0120323	38.1560199	122	14.339718	0	2	3.0847206	4	10	1.5407467	1.9801385	
