Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Donkey Kong	1	33.9617%	1	3	8.1246276	12.2088799	20	5.6429301	20	70.2598288	81.2083641	90.9872539	184	16.148166	0	16.9990684	30.9502734	41.9946119	169	18.6630788	0	2	2.8206804	4	12	1.6751015	2.6115507	
Donkey Kong	2	23.5274%	2	8.993826	12.499132	16.9960888	20	4.8159093	26	83.3637251	95.7705739	106.9967467	203	17.9387107	0	14.0925083	27.5124961	37.9250501	167	17.41101	0	2	3.6083163	5	13	1.8591637	2.2538657	
Donkey Kong	3	12.6559%	3	12	14.8856611	18	20	3.8819985	38	99.2413967	113.3145568	126	224	19.9930905	0	12	23.779826	32.9853044	139	15.5667297	0	3	4.5382391	6	14	1.999381	1.8765082	
Donkey Kong	4	1.8912%	5	15	16.4731145	19	20	3.070505	47	106.9627109	120.2692999	133.4187312	208	19.8510654	0	8	18.5211506	25	118	14.8236238	0	3	4.7663388	6	14	1.9802383	1.8248202	
Dry Bones	0	27.92%	1	1	1	1	1	0	0	58.995932	67.9418087	76	165	15.3996946	0	19	34.1935781	45.9879225	179	19.8703636	0	1	2.2694126	3	11	1.507411	2.8758274	
Dry Bones	1	33.878%	1	3	8.1151928	12.0272128	20	5.6376165	20	70.1041982	81.1548822	90.9807868	185	16.1416961	0	16.9985912	30.9380129	41.9862314	169	18.6619677	0	2	2.8305744	4	12	1.6769019	2.6069898	
Dry Bones	2	23.5454%	2	8.9974621	12.5068138	16.9993219	20	4.8079458	20	83.4761744	95.8036219	106.9928232	207	17.9375428	0	14	27.4902953	37.9758033	168	17.391355	0	2	3.609308	5	13	1.8567222	2.2524527	
Dry Bones	3	12.7269%	3	12	14.9059536	18	20	3.8908894	34	99.0310565	113.1652327	126.0289962	218	20.0382078	0	12	23.8016249	32.980942	150	15.5925284	0	3	4.5342149	6	14	2.0038077	1.8829016	
Dry Bones	4	1.9297%	4	15	16.5036234	19	20	3.0654234	47	107	120.5762036	133.6495894	215	19.8125409	0	8	18.3081308	24.8612342	143	14.7603963	0	3	4.7651967	6	13	1.9843549	1.8274861	
Goomba	0	28.0345%	1	1	1	1	1	0	0	58.9983768	67.9584227	76.0804044	167	15.3948097	0	19.3189967	34.254647	45.9890183	194	19.8864116	0	1	2.2684193	3	11	1.5106646	2.8734916	
Goomba	1	33.8094%	1	3	8.1173965	12.0773221	20	5.6390606	19	70.2464826	81.1603785	90.9312957	172	16.1181217	0	17	30.9940431	41.9947476	174	18.6495695	0	2	2.8234988	4	13	1.674709	2.6088218	
Goomba	2	23.5039%	2	8.9987313	12.4962562	16.9897375	20	4.8139518	26	83.2420241	95.7280792	106.9934545	210	17.8909871	0	14	27.4600811	37.9576937	170	17.3890986	0	2	3.6145874	5	13	1.8559018	2.2507201	
Goomba	3	12.725%	3	12	14.8853619	18	20	3.8928183	36	99	113.2600236	126.1970642	220	20.1022268	0	12	23.8267662	32.9628631	159	15.6681252	0	3	4.5430413	6	14	2.0014273	1.8787426	
Goomba	4	1.9272%	4	14.9237659	16.4789417	19	20	3.0963224	44	106.9490954	120.6050747	133.6119403	216	19.8874991	0	8	18.3407534	24.828126	146	14.7248517	0	3	4.7689913	6	13	1.9890155	1.8224886	
Hammer Bro	0	28.1271%	1	1	1	1	1	0	0	59.0369329	68.0276282	76.3904242	170	15.413682	0	19	34.2381298	45.9928818	168	19.8814836	0	1	2.273512	3	12	1.5131581	2.8714194	
Hammer Bro	1	33.8286%	1	3	8.1256204	12.0719593	20	5.6416315	19	70.1043892	81.1673347	90.9902777	177	16.1200337	0	16.9931283	30.9452032	41.9942372	180	18.6363873	0	2	2.8296796	4	13	1.676875	2.6067647	
Hammer Bro	2	23.4684%	2	8.9958708	12.4983979	16.9903334	20	4.8108099	24	83.3937734	95.7629025	106.995567	205	17.9415035	0	14	27.4467582	37.9793258	164	17.3887273	0	2	3.6141833	5	13	1.8633605	2.2494929	
Hammer Bro	3	12.6481%	3	12	14.9072647	18	20	3.8785137	38	99	113.1867553	126.0251185	223	20.0198887	0	12	23.8115053	32.9969471	173	15.6068727	0	3	4.5369581	6	14	2.0023537	1.8796025	
Hammer Bro	4	1.9278%	5	15	16.4986938	19	20	3.0835414	48	106.9608088	120.5102708	133.6137619	208	19.9063315	0	8	18.312688	25	129	14.5165212	0	3	4.7704119	6	12	1.9843751	1.8284054	
Koopa	0	27.9823%	1	1	1	1	1	0	0	58.9992091	67.9793369	76.1094569	162	15.4255701	0	19.2936061	34.2849051	45.9965473	171	19.8929345	0	1	2.2715574	3	11	1.5127859	2.8736273	
Koopa	1	33.8622%	1	3	8.1203038	12.2975001	20	5.6400988	11	70.2406826	81.1634271	90.9233002	182	16.12756	0	16.9978099	30.9744966	41.9929627	179	18.6505923	0	2	2.8212579	4	12	1.6790881	2.6111475	
Koopa	2	23.4983%	2	8.9988889	12.4992439	16.9898703	20	4.8036965	26	83.6440141	95.8236255	106.9960997	210	17.9090613	0	14	27.4566841	37.9563694	176	17.3897891	0	2	3.6164574	5	13	1.8635746	2.2504394	
Koopa	3	12.7293%	3	12	14.9161095	18	20	3.8765405	33	99	113.1626012	126	218	19.9901028	0	12	23.8845891	32.9875391	152	15.5828751	0	3	4.5330144	6	15	2.0055278	1.8819967	
Koopa	4	1.9279%	5	15	16.5228366	19	20	3.0573097	46	107	120.6506043	133.8951991	224	19.9641731	0	8	18.443799	25	174	14.8409079	0	3	4.7916904	6	13	1.9824615	1.8147207	
Luigi	0	28.0262%	1	1	1	1	1	0	0	58.9993263	68.0345891	76.3835693	170	15.4350177	0	19.1835632	34.2743112	45.9923097	184	19.9005922	0	1	2.2806124	3	11	1.515718	2.8656793	
Luigi	1	33.8589%	1	3	8.1207175	12.0559467	20	5.64106	19	70.2470691	81.1718426	90.9883277	184	16.1417398	0	16.993832	30.9356506	41.9949672	175	18.6792942	0	2	2.8256145	4	12	1.6739335	2.6102413	
Luigi	2	23.4834%	2	8.9971959	12.5050571	16.9980574	20	4.8093618	26	83.4314513	95.7781795	106.9919668	203	17.9145333	0	14.0498333	27.4673216	37.9801523	160	17.3834289	0	2	3.6118492	5	13	1.859053	2.2502023	
Luigi	3	12.7287%	3	12	14.9094898	18	20	3.8904754	34	99	113.1947567	126.1197258	214	20.1801942	0	12	23.903258	32.9854999	141	15.6717441	0	3	4.5326624	6	14	1.9971972	1.8812683	
Luigi	4	1.9028%	5	14.9274194	16.4656888	19	20	3.0939914	41	106.8423599	120.340761	133	215	19.742861	0	8	18.3342443	25	128	14.749339	0	3	4.7832668	6	14	1.9953987	1.8264137	
Mario	0	28.01%	1	1	1	1	1	0	0	58.9873675	67.9796894	76.2858228	165	15.4048353	0	19	34.2650018	45.9918703	163	19.9271899	0	1	2.2724456	3	14	1.51427	2.8718815	
Mario	1	33.8817%	1	3	8.121928	12.200991	20	5.6388286	19	70.1673262	81.1520555	90.9977541	179	16.135055	0	17	31.0057347	41.997383	160	18.7015733	0	2	2.8265406	4	13	1.6785918	2.6074548	
Mario	2	23.5016%	2	8.9937756	12.4941233	16.9890521	20	4.8133276	26	83.5593002	95.7872315	106.9985121	209	17.9141387	0	14.2296491	27.4944685	37.9709263	195	17.376612	0	2	3.6129668	5	14	1.8628522	2.2503404	
Mario	3	12.6916%	3	12	14.8912965	18	20	3.8798297	34	99	113.2457137	126.2106964	222	20.065502	0	12	23.9094125	32.9948897	151	15.6564781	0	3	4.5387264	6	15	2.0044638	1.8787623	
Mario	4	1.9151%	5	15	16.5127086	19	20	3.0457203	55	107	120.6112997	133.6331967	211	19.7400745	0	8	18.314135	25	127	14.6077428	0	3	4.7656519	6	13	1.9675219	1.828103	
Monty Mole	0	28.0523%	1	1	1	1	1	0	0	58.9850459	67.9738488	76.1154182	160	15.4330266	0	19.1655687	34.280993	45.9971074	160	19.9197691	0	1	2.275849	3	12	1.5145492	2.8709411	
Monty Mole	1	33.8533%	1	3	8.122243	12.2210552	20	5.632089	14	70.1455399	81.1587231	90.9935109	182	16.1328566	0	16.999123	30.9329371	41.9974211	169	18.6714341	0	2	2.8277568	4	13	1.6741726	2.6074002	
Monty Mole	2	23.4996%	2	9	12.5164014	16.9951097	20	4.8147525	26	83.3140958	95.7141866	106.9935313	205	17.9114683	0	14.2689388	27.5285537	37.9333881	157	17.4089375	0	2	3.6044571	5	13	1.8599253	2.2547575	
