Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	4	0.24%	10	17	17.7916667	20	20	2.1980894	89	118	129.5	140	194	18.8741446	28	55	67.0666667	78	116	17.5740023	1	4	5.7416667	7	12	2.2379151	2.5833333	
Boo	3	1.558%	8	15	16.7474972	19	20	2.7627109	68	103	116.1527599	128	161	17.1585831	25	58	69.9910141	80.25	150	18.5617291	0	4	5.5917843	7	13	2.2110086	2.6931964	
Boo	2	7%	6	12	14.9520346	18	20	3.6110915	43	93.1481481	104.4182857	116	159	16.4535331	19	59.7407407	71.2402857	81.0154321	156	17.5008973	0	4	5.6231429	7	14	2.1676798	2.6877143	
Boo	1	19.346%	3	7	11.2144684	15.2081364	20	4.9632299	35	81.8636364	92.0068231	102	144	14.91519	19	60.3764881	72.8320066	83.2991672	181	18.0642913	0	4	5.5284813	7	14	2.1665007	2.740825	
Boo	0	71.856%	1	1	1	1	1	0	27	70.7331071	79.6753507	89	126	13.2915608	14	55.4863408	68.5383823	79	182	18.6382587	0	4	5.6216043	7	14	2.1085462	2.7470218	
Bowser	4	0.858%	8	16	17.2307692	19	20	2.576636	93	135	152.2377622	167	227	23.9915364	18	55	66.1631702	76	143	17.8302392	0	4	5.5081585	7	13	2.0716881	2.7552448	
Bowser	3	4.298%	6	14	16.0562452	19	20	3.1572963	55	119.54	136.0674732	153	215	23.2431581	8	54.4825	67.4369474	80	140	18.5997582	0	4	5.6826431	7	13	2.1512777	2.6649604	
Bowser	2	14.572%	4	10	13.5280819	17	20	4.2588611	46	107.9649123	123.6210541	138.9465541	206	22.9049185	12	57.1402597	70.6130936	83	178	19.1058363	0	4	5.6771891	7	15	2.1875031	2.6966786	
Bowser	1	29.258%	2	4	8.6733761	13	20	5.6054309	26	94.7553554	109.6796774	124.7711222	194	22.1655739	5	56.5554212	70.1229749	82.5629553	174	19.4956571	0	4	5.2134801	7	15	2.1928722	2.8941828	
Bowser	0	51.014%	1	1	1	1	1	0	22	77.4702456	91.4531305	104.8477229	159	19.7299691	1	46.7269953	58.9774964	69.8946941	165	17.9692055	0	3	4.1601521	5.1233901	14	2.0661311	3.2958404	
Bowser Jr	4	0.86%	11	16	17.7790698	20	20	2.062969	70	106	117.4162791	129	167	17.0646163	21	61	72.1232558	81	133	16.5573329	2	6	7.2651163	9	13	2.176928	2.0976744	
Bowser Jr	3	6.19%	8	14.3634424	16.4607092	19	20	2.8089931	54	93	105.0084006	116.2617188	166	17.2872508	20	62.1904297	74.6465267	86	146	17.4554989	0	5	6.9292407	8	16	2.1831713	2.1660743	
Bowser Jr	2	23.216%	4	11	14.3304038	18	20	3.828995	42	80.8787228	92.2475879	103.2032828	159	16.5099338	19	66	78.3682805	89.2954545	172	17.9946164	0	5	6.8072019	8	17	2.1018706	2.205634	
Bowser Jr	1	51.042%	2	5	9.3611207	13	20	4.854744	32	70	80.5214137	90.9136991	145	15.163191	18	66.1127311	79.1655499	91	175	19.0321718	0	4	5.844912	7	15	2.1522163	2.581286	
Bowser Jr	0	18.692%	1	1	1	1	1	0	29	59	67.452386	76	122	13.0772913	16	73	86.0555318	98.2291403	176	19.7913149	0	4	5.0765033	6.3160556	12	2.094348	2.865076	
Daisy	4	0.538%	12	17	18.1263941	20	20	1.8247601	87	108	116.2193309	124	141	11.0038958	31	72	82.3085502	92	144	17.5659554	2	7	8.2118959	10	14	2.4057876	1.8066914	
Daisy	3	4.53%	10	14.9666667	16.5303867	19	20	2.7192465	77	94	102.5889625	111	130	11.0648564	36	75.9896694	87.4145695	96.3615702	196	17.8420061	2	7	8.194702	10	16	2.1889887	1.7549669	
Daisy	2	24.926%	7	12	14.5259719	18	20	3.6695461	68	84	91.5178528	99	123	10.3632484	33	75	87.5119955	97.3522727	189	18.1501931	0	6	7.5509107	9	15	2.1065543	1.9301934	
Daisy	1	34.93%	4	6	10.4143306	14.413704	20	4.8523173	62	71	77.9467506	84	102	7.9968806	18	75.6946309	88.5635843	100	204	19.7179825	0	6	6.9215574	8	15	1.9795481	2.1275122	
Daisy	0	35.076%	1	1	1	1	1	0	62	65.8665459	66.7827004	68	75	1.8353181	27	80.5460061	94.9949823	108.3607038	219	21.3832702	0	5.999182	6.814403	8	14	1.8971875	2.1481925	
Diddy Kong	4	0.004%	20	20	20	20	20	0	121	121	124.5	128	128	3.5	52	52	60	68	68	8	5	5	7	9	9	2	2	
Diddy Kong	3	0.046%	12	17	17.48	19	20	1.9620398	91	103	116.2608696	125	149	14.7064535	47	58	66.7826087	77	93	12.4235279	1	4	5.0434783	6	10	1.9444069	2.8695652	
Diddy Kong	2	0.384%	11	16	17.1382488	19	20	2.3059256	58	86	97.828125	109	138	16.1663437	31	58	68.1770833	78	116	15.7039637	1	4	5.2135417	6	9	1.6898052	2.9270833	
Diddy Kong	1	1.578%	7	12.90625	14.8479125	17	20	2.9886682	49	73	84.9074778	95	145	15.8015355	27	51	62.9556401	73.75	120	16.0707974	0	3	4.0405577	5	12	1.6571473	3.3143219	
Diddy Kong	0	97.988%	1	1	1	1	1	0	14	56	69.7738294	77	126	15.6677986	15	50.9811306	62.0220435	70.8098075	175	16.614453	0	4	4.9822631	6	13	1.654456	3.0448626	
Donkey Kong	4	0.006%	17	17	19	20	20	1.4142136	115	115	121.3333333	131	131	6.9442222	48	48	72.3333333	94	94	18.8738502	5	5	7	9	9	1.6329932	2.3333333	
Donkey Kong	3	0.102%	15	18	18.6481481	20	20	1.4549711	82	100	114.1568627	125	168	17.7834165	48	62	77.4509804	86	132	19.4183194	3	6	7.5882353	9	14	2.2853023	1.9215686	
Donkey Kong	2	1.322%	10	16	17.5146853	19	20	2.1322026	68	89	103.5885023	115	164	19.3385348	31	60	74.5506808	87	151	19.7522305	2	5	6.6974281	8	14	2.1138137	2.2118003	
Donkey Kong	1	7.352%	6	13	15.2527898	18	20	3.3374477	60	79.0678138	91.6991295	104	163	18.897375	24	58	72.742111	85.48583	158	19.9734149	1	5	6.4281828	8	15	1.9616869	2.3664309	
Donkey Kong	0	91.218%	1	1	1	1	1	0	0	50	64.8586902	80	150	20.5677672	9	47	60.0183736	69.9998132	176	18.4993815	0	4	5.6020303	7	15	2.0120635	2.6594313	
Dry Bones	4	0.526%	11	17	17.8060837	20	20	2.0480077	70	112	124.1596958	138	172	18.6768897	24	60	73.2319392	86	136	18.7710695	1	6	7.4524715	9	14	2.3763376	2.0342205	
Dry Bones	3	3.798%	8	14	16.36679	19	20	2.9339109	58	97	110.4107425	124	159	18.5554351	25	64	76.6303318	87	181	17.5332452	1	6	7.4239073	9	15	2.2857659	1.9763033	
Dry Bones	2	14.06%	6	11	14.05396	17.8477011	20	4.0772997	45	83.2174745	96.500569	109	153	17.943421	17	64.1683673	76.9378378	87.3596939	183	18.6179445	0	5	6.9658606	8	15	2.2572723	2.1692745	
Dry Bones	1	35.824%	3	5	9.4928424	14	20	5.3438946	29	71.0126024	81.7703774	90.9940792	136	14.9345576	30	69	81.5566101	92.2322975	196	18.2903738	0	5	6.421561	8	15	2.1567353	2.3589214	
Dry Bones	0	45.792%	1	1	1	1	1	0	30	65	71.517514	80	105	10.5339809	38	76	88.7524022	99.0488898	206	18.3557555	0	4	5.6660989	7	14	2.0996773	2.6199773	
Goomba	4	0.384%	12	17	17.9427083	20	20	1.885208	76	101	111.28125	122	153	14.9305358	46	75	89.9010417	100	166	21.9586638	3	7	8.5364583	10	13	2.2217495	1.671875	
Goomba	3	3.042%	9	15	16.9054291	19	20	2.5899667	56	87	97.4273504	108	146	14.9987995	42	77.7346939	92.425378	104.0102041	177	21.5124657	2	7	8.2577252	10	16	2.1077129	1.7008547	
Goomba	2	15.366%	6	12	14.8381226	18	20	3.6333794	31	76	85.5875309	95	139	14.1904355	30	78	93.62814	106.1696429	214	22.1177101	0	6	7.5426266	9	15	2.1688694	1.9094104	
Goomba	1	40.24%	3	6	10.5058951	14	20	4.8782715	27	64	73.358499	82.8583519	120	13.2275526	28	77	93.2014414	106.0253934	215	22.8637013	0	5	6.6548211	8	15	2.0649221	2.1939861	
Goomba	0	40.968%	1	1	1	1	1	0	15	51	58.524214	66	99	10.4635413	24	67.5836819	82.2673306	94	206	21.3551236	0	4	5.4668034	7	13	1.8962602	2.6568053	
Hammer Bro	4	0.28%	13	17	17.8928571	20	20	1.991756	72	97	106.1285714	117	146	15.7638116	47	74	83.8214286	93	155	17.7169281	3	7	8.0642857	10	12	2.0149821	1.8571429	
Hammer Bro	3	2.14%	10	15	17.0289256	19	20	2.5480486	53	81.6875	91.871028	103	139	14.7462082	35	71.09375	84.3785047	95.0625	164	18.224501	1	6	7.4065421	9	14	2.172073	2.035514	
Hammer Bro	2	10.23%	7	13	15.2382609	18	20	3.4961287	34	70	79.6389052	89	127	14.0890067	31	73	85.3202346	96	170	18.5716833	1	6	6.9646139	8	14	2.1002534	2.1354839	
Hammer Bro	1	30.496%	4	7	11.252028	15	20	4.7800106	26	60	69.1001443	78	118	12.9392906	28	73	86.0847324	97.3285059	183	18.8792112	0	5	6.195042	8	14	2.0208441	2.4222849	
Hammer Bro	0	56.854%	1	1	1	1	1	0	22	49	55.8561931	62	90	9.5148619	31	68.8212473	80.4650157	90	209	17.0786958	0	4	4.9753755	6	12	2.0256279	2.8822598	
Koopa	4	0.762%	11	17	17.984252	20	20	1.966855	62	102	114.6535433	126	174	18.3532176	29	62	75.7585302	86	164	20.6143049	0	6	7.4173228	9	15	2.3967638	2.0682415	
Koopa	3	5.802%	8	15	16.7486289	19	20	2.7100159	53	89.4666667	101.8693554	113.9788889	166	17.5315885	18	64	77.4605309	88.9155556	171	19.9814524	0	5.8333333	7.0975526	9	15	2.2727947	2.1275422	
Koopa	2	23.856%	6	12	14.5466141	18	20	3.6877951	44	78.2827068	90.4832327	101.8836364	160	17.0746935	20	66.4330827	80.0566734	91.6620657	183	19.8074308	0	5	6.6441147	8	16	2.2115685	2.2726358	
Koopa	1	42.516%	4	6	10.1507349	14	20	4.7112302	29	67	78.20143	88.511553	155	15.6605003	18	69	83.4369179	95.9863667	197	20.9982324	0	5	6.0782294	7.8281676	16	2.1833678	2.4663186	
Koopa	0	27.064%	1	1	1	1	1	0	30	59	68.6024239	77.657424	123	13.7357053	18	72.5607235	87.7655927	101	191	22.1366354	0	4	5.5666568	7	15	2.1937095	2.6366391	
Luigi	4	0.57%	11	17	17.9894737	20	20	2.1217077	77	106	119.3789474	130	176	17.9993249	31	61	74.1684211	85	171	21.0523088	2	6	7.3157895	9	14	2.3196937	2.0736842	
Luigi	3	3.73%	7	15	16.5237209	19	20	2.8389558	58	94	105.4048257	116.5895062	167	16.4831437	29	64	78.0702413	89.1049383	176	20.5637934	0	6	7.2906166	9	17	2.2919004	2.0123324	
Luigi	2	14.79%	5	11.0407819	14.4427449	18	20	3.8640729	45	82.2770408	93.6151454	104.0382653	148	15.8613188	21	67	81.3353617	93.9358766	198	21.3501549	0	6	7.1000676	9	16	2.233737	2.0892495	
Luigi	1	36.192%	3	6	10.1905503	14	20	5.0170628	32	71.9983165	81.4475022	91	134	14.0505555	15	70	85.0110522	97.6007092	201	21.7292639	0	5	6.3484195	8	16	2.1671964	2.3415119	
Luigi	0	44.718%	1	1	1	1	1	0	30	64	71.6268617	79	115	11.0998379	35	79.4375862	94.6257883	107.0208541	218	21.8249012	0	4	5.5502929	7	14	2.1766973	2.6239993	
Mario	4	0.792%	12	17	17.8989899	20	20	1.9292797	86	110	118.9545455	128	162	12.4339855	34	67	76.9343434	87	168	17.4515413	2	6	7.6616162	9	14	2.2432033	1.9520202	
Mario	3	5.684%	8	15	16.6192094	19	20	2.6674603	70	98	107.1618578	116	163	12.6325143	28	68	80.3789585	91	168	18.4924891	0	6	7.6203378	9	16	2.2317636	1.9208304	
Mario	2	24.858%	6	11	14.3656092	18	20	3.7620366	53	87	95.2379918	103.5429338	141	12.0381832	17	69.3524901	82.0342747	93.0392354	179	18.828339	0	6	7.1597071	9	15	2.2029169	2.0699171	
