Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	4	6.242%	5	14.9941406	16.5245114	19	20	3.0267617	68	121	135.4924704	150	222	21.0575726	7	37.9619141	52.0471003	63.3876953	153	20.0470456	0	3	4.2739507	5.0068359	12	1.814779	2.0163409	
Boo	0	26.512%	1	1	1	1	1	0	22	68.2912382	77.2647103	86	126	13.1682572	3	32	46.4597918	57	183	20.1277726	0	1	2.0952776	3	9	1.3706738	3.0993512	
Boo	1	30.488%	2	6	10.0848846	14	20	4.9132643	36	81	91.6344791	102	145	15.3821292	6	37.9475234	52.2993309	63.1285926	156	20.2801864	0	1	2.538835	3.9555652	13	1.5481007	2.8582393	
Boo	2	24.236%	3	10	13.1954419	17	20	4.4387027	44	92.6492915	104.4777191	116.0636816	166	17.3523372	6	38.084022	52.5443142	63.3661704	158	19.9651159	0	2	3.0499257	4	11	1.6883042	2.6010893	
Boo	3	12.522%	4	13	15.2238329	18	20	3.700639	58	105	118.2010861	130.9907442	179	18.967696	9	38.3489011	52.5011979	63.0469639	160	19.7506062	0	2	3.6714582	5	12	1.8135935	2.3096949	
Bowser	4	6.246%	7	15	16.8773615	19	20	2.7667361	66	132.9873047	150.493756	167.9423828	233	24.6348071	12	40	54.5536343	66	145	19.8466888	0	3	4.5139289	6	14	1.8572274	1.9215498	
Bowser	0	28.11%	1	1	1	1	1	0	21	78.4421505	92.0643899	105	169	19.43297	5	36	50.3851298	61.0763232	178	20.3316968	0	1	2.4071149	3	13	1.5312815	2.9457133	
Bowser	1	26.704%	1	4	8.256809	12	20	5.2567846	31	91.9953618	106.525015	121.4365079	181	21.4951254	8	41.3304274	56.397169	67.9748307	182	21.0699263	0	2	3.0150539	4	11	1.7147977	2.6313661	
Bowser	2	25.246%	2	9.7098765	12.8951445	16.5465927	20	4.3611506	44	104.6619483	120.4067971	136.0750568	210	22.888205	6	43	57.5098629	69	169	20.531534	0	2	3.5738731	5	11	1.8269173	2.3530856	
Bowser	3	13.694%	4	13	15.4480441	18	20	3.4577778	49	118.0302934	134.3551921	150	238	23.3803651	10	42.0121173	57.0032131	68	165	20.2702853	0	3	4.0628012	5	13	1.891654	2.1092449	
Bowser Jr	4	9.006%	7	15	16.8643127	19	20	2.7726054	57	106.2314286	119.5234288	132	192	18.98197	11	39	53.5438596	64.4342857	157	20.1472543	0	3	4.4003997	6	11	1.8395004	1.9031757	
Bowser Jr	0	9.12%	1	1	1	1	1	0	32	59.06	68.5986842	77	115	12.9997267	17	49	63.827193	74.848	176	20.2145283	0	1	2.4313596	3	8	1.4377824	2.7548246	
Bowser Jr	1	30.906%	2	4	8.0333187	11	20	4.5489018	29	70.71277	80.9524364	91	140	15.0132366	11	46	60.3887918	71	168	20.1975075	0	2	2.7135831	4	9	1.537308	2.6583188	
Bowser Jr	2	32.742%	4	9.8686869	12.9547471	16	20	4.1985345	38	81.5341923	92.8646998	104	154	16.4374327	14	44	58.2222222	68.7807783	185	19.9896369	0	2	3.1706066	4	10	1.6559947	2.4474986	
Bowser Jr	3	18.226%	5	13	15.4487368	18	20	3.3771044	50	93.7023657	105.4518819	117	180	17.327302	12	42	56.1919236	66.8698422	162	19.7131167	0	2	3.7483814	5	11	1.7845072	2.196313	
Daisy	4	14.232%	7	14	16.0474986	19	20	3.121395	77	114.6829574	124.7858347	136	168	14.7141281	10	38.5576923	50.6478359	59.944062	150	17.2356916	0	3	4.3733839	6	11	1.8048759	1.9176504	
Daisy	0	8.214%	1	1	1	1	1	0	60	65	66.4855125	68	74	2.1576466	15	46	58.0065741	67.3259298	166	17.4890471	0	1	2.2079377	3	7	1.3347103	2.9099099	
Daisy	1	25.422%	2	3	6.8362713	9	20	4.7127538	60	74	81.3957202	88.0874907	104	8.6656236	15	43.2176264	55.8151208	65.2990048	159	17.5755817	0	1	2.5025568	3	8	1.4454023	2.7932499	
Daisy	2	32.756%	4	8	11.5332711	15	20	4.7169563	65	88	95.9785688	104	126	11.4105318	12	43	55.6723654	65.4521942	169	18.024911	0	2	3.0382831	4	10	1.6331489	2.5224081	
Daisy	3	19.376%	6	12	14.6884075	18	20	3.749018	70	101	110.3674649	120	148	13.1413653	12	41	53.2731214	62.8299233	146	17.5239052	0	2	3.6805326	5	11	1.7432259	2.2207886	
Diddy Kong	4	3.93%	7	15	16.9638677	19	20	2.719867	64	113	129.021883	145	198	22.781561	15	41	53.7180662	63.9074074	175	18.6098254	0	3	4.7012723	6	11	1.8765524	1.7740458	
Diddy Kong	0	37.104%	1	1	1	1	1	0	7	56	66.1072122	77	119	15.5200939	6	31.7026503	44.5009702	54.1206133	150	18.1159036	0	1	1.9832902	3	9	1.3426693	3.1066731	
Diddy Kong	1	28.752%	3	6.7063775	10.6342216	14.8673116	20	4.9154303	21	69	81.4796884	94	147	18.2738362	8	37.9566667	51.2961185	61.8990612	160	19.0616192	0	1	2.4860879	3	10	1.5046121	2.8288815	
