Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	4	6.224%	5	15	16.5122108	19	20	3.0221726	67	121	135.4903599	150	204	20.7733493	9	38	51.1420308	62	154	18.8528944	0	3	4.2053342	5	10	1.8257822	2.0446658	
Boo	3	12.43%	4	13	15.1841964	18	20	3.6957222	54	105.6348684	118.500885	131.4952091	194	18.9640543	0	37.6218112	51.2677393	62	149	19.1918144	0	2	3.5922767	5	12	1.772083	2.3385358	
Boo	2	24.132%	3	10	13.1625298	17	20	4.4354645	44	92.3455882	104.3419526	116	168	17.2070616	4	37.2797526	51.0279297	61.9880137	162	19.2324316	0	2	2.9933698	4	10	1.6497937	2.6389027	
Boo	1	30.186%	2	6	10.0581593	14	20	4.9099678	37	81	91.7244418	102.1224112	145	15.5073072	4	37.1483289	51.1229709	61.9546976	187	19.4898866	0	1	2.496124	3	10	1.5302126	2.8778904	
Boo	0	27.028%	1	1	1	1	1	0	26	68.8133803	77.3204085	86	128	13.169169	3	31.9052632	45.2031227	55.0985801	161	19.1255277	0	1	2.0923487	3	8	1.3721136	3.110848	
Bowser	4	6.364%	5	15	16.7143306	19	20	2.7965435	74	134.3279857	151.2454431	168.0909091	237	24.7736916	12	38	49.5301697	58.9518717	131	16.4657674	0	3	4.3139535	5.1818182	11	1.7878844	2.0254557	
Bowser	3	13.312%	4	13	15.3551535	18	20	3.517694	59	118	134.1684195	150	220	23.7300213	6	39.7961538	51.1289062	60.6846361	142	16.4627411	0	3	3.8335337	5	11	1.8075843	2.2525541	
Bowser	2	25.502%	2	9	12.8879986	16.8356717	20	4.3989716	40	104.833871	120.2699396	136	201	22.8081971	6	39.989639	51.6699082	61	133	16.6331938	0	2	3.3283664	4	11	1.7421892	2.4943142	
Bowser	1	26.68%	1	4	8.2880681	12	20	5.2806469	28	92	106.5335832	120.9866199	186	21.4401051	4	38.7846286	50.5248876	60.0448718	143	16.9662571	0	2	2.8616942	4	10	1.6468093	2.7354573	
Bowser	0	28.142%	1	1	1	1	1	0	19	77.9241086	91.5529102	104.6190476	174	19.4169332	3	33.585973	45.1695686	54.6689754	150	16.4984615	0	1	2.2541397	3	10	1.4761554	3.0645299	
