Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Donkey Kong	1	17.9291%	5	11	14.0135995	17	20	3.6305629	50	64	80.2169233	92.9992389	182	20.0525273	3	32.3810098	43.3338104	50.9992878	150	16.0716523	0	1	1.8661193	2.9998931	10	1.2082878	2.5468875	
Donkey Kong	2	7.20316%	6	13	15.3546532	18	20	3.3119189	60	81.9844522	98.245048	112.6951325	213	21.8519049	3	30.9975272	41.3081592	48.4195814	144	15.7613097	0	1	2.1856546	3	12	1.3388407	2.3448459	
Donkey Kong	3	1.18688%	7	15	16.8020338	19	20	2.7501677	71	99.2476485	116.8732475	132.2192624	222	23.0767416	3	29.9813767	40.1368967	47	137	15.6688052	0	1	2.4807057	3	11	1.4239738	2.1711209	
Donkey Kong	4	0.14658%	10	17	17.8024287	20	20	2.1029551	84	118.1415816	134.9552463	150.9337232	226	23.2384559	8	29	38.8130714	45.4017857	128	15.2194208	0	2	2.6355574	3.8511905	9	1.4437927	2.0659026	
Goomba	0	62.95386%	1	1	1	1	1	0	10	52	59.0787939	66	106	10.3296776	6	33	42.2690472	47	145	14.0250371	0	1	1.6957127	2	10	1.2478268	2.6290232	
Goomba	1	24.43436%	2	5	9.9029184	14.9991856	20	5.5191167	17	64.8951254	74.2533645	83.9981414	129	13.669472	4	36	46.6099321	53.9969141	153	15.5317482	0	1	2.3597876	3	10	1.4265357	2.3068793	
Goomba	2	9.7517%	4	10	13.6874002	17	20	4.3310212	23	78	88.895087	99.9477855	150	15.5502801	6	35.997702	46.4385143	53.9742287	159	15.6371882	0	2	2.8381308	4	12	1.5549016	2.0528277	
Goomba	3	2.32358%	5	13	15.6660233	18.9811422	20	3.4058515	34	90.9830906	102.5925339	114	165	16.9198236	7	35	46.1266064	53.9806845	150	15.9043323	0	2	3.1660369	4	11	1.6138062	1.8855645	
Goomba	4	0.5365%	7	15	16.8079776	19	20	2.777381	55	104.389135	116.9082572	129.2243079	182	17.9617417	6	34	45.5581733	53.5352151	134	16.3270186	0	2	3.301808	4	12	1.6457866	1.8058527	
Dry Bones	0	35.37412%	1	1	1	1	1	0	20	60	67.954106	75	120	11.1065005	0	30.997383	39.4796015	44.1385103	143	13.3573372	0	1	1.6012786	2	10	1.2605484	2.5831263	
Dry Bones	1	43.12454%	2	3	8.6661533	13	20	5.6298741	26	74.9996853	85.5978791	96	145	15.1423031	0	29.5451879	39.1761517	45.5661083	144	14.9178623	0	1	2.4851386	3	11	1.4704567	2.2722598	
Dry Bones	2	16.00146%	4	8.9978263	12.7160558	17	20	4.8729079	35	89.0364598	101.5554693	113.9973021	170	17.4901803	0	27.9999135	38.7549211	45.996822	140	15.4832938	0	2	2.9970753	4	13	1.5580813	2.0035734	
Dry Bones	3	4.23616%	5	12	15.0548594	18	20	3.7651799	48	103.6734001	116.6793511	130.020422	182	18.8434601	0	28	39.3396519	47	141	15.9835383	0	2	3.255387	4	12	1.6061522	1.8634093	
Dry Bones	4	1.26372%	6	14	16.0863324	19	20	3.2539662	59	117.9961973	132.069335	146.8836977	202	20.2945835	0	26	38.4177982	47.5588046	136	17.1274959	0	2	3.3481626	4	11	1.616452	1.8237268	
Hammer Bro	0	54.33182%	1	1	1	1	1	0	10	49.6047611	56.2718661	62.9993924	100	9.8851232	6	39	47.380627	52.2221372	145	13.993981	0	1	1.7238524	2	11	1.2380022	2.5125516	
Hammer Bro	1	30.8698%	2	5	9.6642884	14	20	5.3406007	13	60.8420135	70.2011863	79.5868062	126	13.4411001	6	35.9999861	45.6650066	51.9994592	149	15.0934871	0	1	2.3569527	3	11	1.4236839	2.2903932	
Hammer Bro	2	11.20322%	4	11	13.9892988	17.9941524	20	4.1521368	28	74	84.8329998	95.0580396	148	15.0911226	3	34.9958059	45.1241839	51.999984	147	15.478163	0	2	2.8139392	4	11	1.5394714	2.0657472	
Hammer Bro	3	3.0102%	7	13	15.6836302	18.9547769	20	3.3560938	38	85.9845246	97.377543	108.973709	169	16.6715237	6	33	44.3220982	51.7316692	145	15.8056254	0	2	2.992459	4	12	1.5860926	1.9619959	
Hammer Bro	4	0.58496%	8	15	16.9850246	19	20	2.625641	56	100	112.1440098	124	171	17.4057691	6	32	43.1608657	51	135	16.2237818	0	2	3.1961844	4	11	1.6308942	1.865119	
Koopa	0	54.02936%	1	1	1	1	1	0	23	56.2632073	66.4704698	75.1431741	153	13.9215848	0	31.7311219	40.9153201	46.9994003	145	14.5364156	0	1	1.8953277	3	10	1.3068786	2.5164448	
Koopa	1	32.6887%	2	6.0614544	10.9144315	15	20	5.0006359	26	67.5177941	78.6573036	88.9992445	160	15.7342512	2	29	38.9293462	45.205994	147	14.9834398	0	1	2.3754374	3	13	1.4292697	2.3473837	
Koopa	2	10.03716%	3	11	13.9957732	17.9993969	20	4.2194283	33	79	91.5690135	102.9866732	183	17.5160007	0	27	37.2705646	43.9986903	148	15.2595604	0	2	2.7295988	4	13	1.5115671	2.1626615	
Koopa	3	2.6146%	4	13	15.6967437	18.9993191	20	3.4222337	45	92	106.1316301	118.9616898	188	19.5316686	0	24	34.4434101	40.9990183	126	15.2082411	0	2	2.907351	4	11	1.5431771	2.0559627	
Koopa	4	0.63018%	7	15	16.8499159	19	20	2.7693574	58	106	121.3339681	135.828261	207	21.1794956	3	21	31.3350154	37.6204562	124	14.9232292	0	2	2.9887016	4	11	1.5541469	2.0095846	
Luigi	0	44.07148%	1	1	1	1	1	0	20	61	69.1645654	77	123	11.6062853	0	33	42.2237052	47	141	13.8869861	0	1	1.7398376	2.8042043	10	1.2872806	2.5378385	
Luigi	1	39.1333%	2	5	10.0173153	14.0171863	20	5.3735643	25	73	83.5115745	93.0728335	147	14.4701648	2	30	39.5336683	45.998282	155	14.8809262	0	1	2.4383775	3	11	1.4578928	2.2935382	
Luigi	2	12.7745%	3	10	13.7456062	17.9318894	20	4.4424485	35	86	97.8654429	109	167	16.5092367	0	27.9982198	38.3366504	44.9989387	140	15.1507778	0	2	2.9158574	4	11	1.55437	2.0467556	
