Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Donkey Kong	1	20.1876%	1	3	5.4115961	7	20	3.8068222	10	67.9034023	84.0740653	100.8175314	185	24.252601	6	52	68.0029721	80.9227277	199	22.6038722	0	2	3.0361113	4	12	1.6569374	2.4195546	
Donkey Kong	2	33.0562%	3	9	12.0075312	15	20	4.0250754	17	81.6584102	98.183427	114.8932743	215	24.4617831	6	53.9953932	69.5999056	81.993481	229	22.0711573	0	2	3.4775383	5	13	1.8120776	2.220957	
Donkey Kong	3	21.8764%	5	13	15.2074146	18	20	3.3146792	25	93.9923188	111.0298678	127.4710134	224	24.5587111	11	53	68.6159332	80.9312805	204	21.8367829	0	3	4.0400523	5	14	1.8969096	1.9758461	
Donkey Kong	4	11.1396%	6	15	16.8782362	19	20	2.6085614	36	108.5581989	126.059266	143.1008688	243	25.4247558	12	51.6628074	66.9082732	78.9668714	185	21.6943877	0	3	4.7199181	6	14	1.9587964	1.7212467	
Dry Bones	0	7.9016%	1	1	1	1	1	0	30	60	67.3126962	75	110	10.8110397	21	53	67.4344183	78	196	20.40989	0	1	2.3430191	3	9	1.4135817	2.7588337	
Dry Bones	1	26.0806%	1	1	5.670548	9	20	5.1573267	30	75	86.0772452	97	147	15.7226097	9	46.1730839	60.9513508	71.9030527	201	20.4276731	0	2	2.7171461	4	11	1.5509761	2.6186514	
Dry Bones	2	29.4562%	3	7	11.0924932	15	20	4.9269367	36	89	101.6445434	113.9887428	163	17.6407724	7	44.3401402	59.0421439	69.9618831	198	20.4538021	0	2	3.2921422	4	13	1.7208226	2.3527135	
Dry Bones	3	21.9818%	4	10.9700912	13.7424949	17	20	4.2648086	45	102.4290391	115.7839667	129	189	19.1589679	6	43	57.5846291	68.6719467	203	20.504544	0	3	3.9050396	5	13	1.8233497	2.0751986	
Dry Bones	4	14.5798%	5	13.8952058	15.7806691	19	20	3.3890156	57	121.3207766	135.7641394	150.0631304	207	20.682769	5	40.9086375	55.3682355	66.4707488	183	20.4715166	0	3	4.7080481	6	14	1.8729278	1.7510803	
Goomba	0	22.4628%	1	1	1	1	1	0	12	50	57.2572609	64	97	10.3669521	16	46.9825627	61.2342985	71.6632619	211	20.0805498	0	1	1.9196004	3	8	1.2947133	2.9884164	
Goomba	1	26.6336%	1	3	7.8213786	12	20	5.5896255	19	62.9904812	72.9616499	82.9851562	132	14.2163687	16	51	66.328187	77.7707667	207	21.092569	0	1	2.384244	3	10	1.4750662	2.7496621	
Goomba	2	25.902%	3	8	12.2003316	16	20	4.7192423	31	76.9905534	88.4491082	99.9727718	153	16.5108833	12	52	67.0612462	78.5538715	201	21.0735222	0	2	2.9456104	4	12	1.6601375	2.4751371	
Goomba	3	15.4886%	4	12	14.56306	18	20	3.9632161	37	90	103.0986145	115.4399803	176	18.0518287	17	51.3775299	66.3528143	77.7183833	208	20.9373105	0	2	3.6374624	5	12	1.8116985	2.1564506	
Goomba	4	9.513%	5	14	16.0424682	19	20	3.2701042	51	107	121.1883318	135	189	19.9401801	14	49.9918668	64.7936298	76.1388535	188	20.8517235	0	3	4.4894776	6	13	1.9072027	1.8128246	
Hammer Bro	0	10.603%	1	1	1	1	1	0	17	47	54.0342922	61	92	9.727683	17	53	67.4148826	77.9741226	192	20.4818203	0	1	1.9350561	3	8	1.2914843	2.9655192	
Hammer Bro	1	28.2116%	2	2	7.0921888	10	20	5.0757194	19	61	70.9941301	80.9878716	122	13.7301524	16	53.3523627	68.393597	79.9057602	204	21.0096206	0	1	2.3388961	3	10	1.4521911	2.7675212	
Hammer Bro	2	30.258%	3	8	12.047021	16	20	4.5788213	23	74.9153157	85.7897548	96.9960101	140	15.7805319	9	51.9992221	66.8460771	77.9860117	196	20.9520058	0	2	2.8492564	4	11	1.6214451	2.5209928	
Hammer Bro	3	19.429%	4	11.9850451	14.4978498	18	20	3.9505981	36	87.1006973	99.286551	111	167	17.1072165	15	50	64.961892	75.9699875	188	20.77291	0	2	3.4763807	5	13	1.7648003	2.2322096	
Hammer Bro	4	11.4984%	6	14	16.1054755	19	20	3.1612885	49	105	117.4132749	130.0896015	186	18.439376	9	48	62.7948584	73.9568393	192	20.6510892	0	3	4.3169658	5.9679898	12	1.8668216	1.8789745	
Koopa	0	9.3198%	1	1	1	1	1	0	27	57	67.4323483	76.0690177	131	13.8592453	11	48.3501456	63.0961823	73.9652668	195	20.470846	0	1	2.3254576	3	10	1.4094568	2.7916264	
Koopa	1	30.4378%	1	5	8.068564	11	20	4.6566547	29	69	80.3597041	90.9901304	155	15.9692323	9	46	60.6550605	71.6470794	196	20.6488936	0	1.9956594	2.6257811	4	10	1.5195461	2.6669207	
Koopa	2	32.4508%	3	9	12.8444185	16	20	4.2542451	36	80.9707345	92.9932205	104.1323117	179	17.4713825	11	44.3306634	59.1038927	69.9895741	188	20.4907944	0	2	3.0658227	4	12	1.6629525	2.4648452	
Koopa	3	18.7096%	4	13	15.3802444	18	20	3.4345788	44	92.9765529	105.8478749	117.9762004	190	18.6897402	9	42.9593903	57.1416064	67.9693763	191	20.2785408	0	2	3.5994035	5	12	1.7763845	2.2205499	
Koopa	4	9.082%	6	15	16.7521691	19	20	2.7929699	53	106.9581811	121.0990531	134.2884285	209	20.4787473	5	40	54.454107	65.2412689	185	20.2250294	0	3	4.2761506	5.0442621	13	1.8256599	1.9271086	
Luigi	0	10.77%	1	1	1	1	1	0	32	62	69.5038812	77	114	11.1979369	15	51	65.5130176	75.9985535	194	20.4461407	0	1	2.3036026	3	9	1.396317	2.7865367	
Luigi	1	28.7244%	1	2	7.0635033	10	20	5.1211618	29	74	84.7037014	95	143	14.9505924	11	46.0038096	60.9370709	71.9457421	191	20.5320316	0	1.9999358	2.6655248	4	11	1.5472003	2.6463146	
Luigi	2	29.32%	2	8	11.8907043	16	20	4.7111304	35	87	98.6990655	110	164	16.9048434	6	44.0737838	58.9143793	69.9584031	184	20.3929343	0	2	3.1911596	4	12	1.6987736	2.4052319	
Luigi	3	19.7972%	3	11.1049757	14.3786748	18	20	3.9946773	47	99.9395938	112.483725	125	184	18.3281781	6	42.9737307	57.2648051	68.0653695	190	20.324562	0	2.9948412	3.8139232	5	12	1.8119068	2.1199968	
Luigi	4	11.3884%	5	14	16.1373678	19	20	3.1770806	59	117.3774817	130.9721822	144.6848867	203	19.8739742	8	40.4051338	55.075814	66.1054802	181	20.2964955	0	3	4.580503	6	14	1.8538808	1.7998841	
Mario	0	10.6282%	1	1	1	1	1	0	41	65	70.3291997	75	103	7.11041	15	48.9837723	63.2603075	73.96137	184	20.3600817	0	1	2.2173275	3	9	1.3831692	2.8424757	
Mario	1	27.5224%	1	2	6.9781117	10.2692952	20	5.2631084	42	76	84.2370505	92.2391665	128	11.5443259	11	46	60.764817	71.6819952	205	20.438874	0	1	2.588735	4	11	1.524079	2.6846859	
Mario	2	30.263%	3	8	11.7902389	16	20	4.7343662	51	88.9871123	98.9021776	108.9989901	153	14.174015	7	44.9984577	59.2430096	69.9981968	194	20.4292879	0	2	3.1511549	4	11	1.6925048	2.4197667	
Mario	3	19.2388%	4	11.7474638	14.4362067	18	20	3.9668119	60	102	113.2938229	124	178	15.8508776	7	42.9688401	57.3502193	68.2285967	197	20.3956821	0	3	3.8408633	5	12	1.8090141	2.1020854	
Mario	4	12.3476%	5	14	15.9366031	19	20	3.3146069	70	117.8978916	130.1558521	142.8932958	192	17.9839854	8	40.0120801	54.8743723	65.8830857	181	20.3124009	0	3	4.5857171	6	13	1.8600091	1.8037189	
Monty Mole	0	15.1876%	1	1	1	1	1	0	24	59	65.0850036	71	98	8.9259335	9	42.8877617	57.3625194	68.2044099	196	20.6600393	0	1	2.0342253	3	10	1.3267053	2.9702257	
Monty Mole	1	27.763%	1	3	7.4629017	11	20	5.3487184	31	70.9996488	80.0975615	89	126	12.9098112	9	45	59.769254	70.9582862	195	20.77094	0	1	2.4661888	3	10	1.4961273	2.7555884	
Monty Mole	2	28.5372%	3	8	12.0840219	16	20	4.6876567	35	84.3593545	95.1840965	105.9863125	150	15.2707476	12	44.7345515	59.3373562	70.4916798	197	20.613736	0	2	3.0295544	4	12	1.6746882	2.4744824	
Monty Mole	3	17.6964%	4	11.9955393	14.5235092	18	20	3.9459432	44	97.5912864	109.3925092	121	175	16.9817865	9	43	58.0444384	68.9811779	194	20.5602453	0	2	3.7098054	5	12	1.8108858	2.1636943	
Monty Mole	4	10.8158%	5	14	16.0263688	19	20	3.2682156	58	113.9437534	126.8267904	139.9320682	195	18.9351241	7	41.4250079	56.1323249	66.9957512	188	20.4545252	0	3	4.5040404	6	14	1.8738329	1.8358513	
Normal Dice	0	9.3974%	1	1	1	1	1	0	43	65	69.9606274	75	98	7.5593538	9	47.5829875	62.1093707	72.9840338	189	20.6182451	0	1	2.2050567	3	8	1.3749728	2.8557686	
Normal Dice	1	27.7864%	1	3	6.9745923	10	20	5.0807336	41	76	84.4584545	93	129	11.8411183	12	45.7292748	60.1778712	70.9940178	203	20.5937123	0	1	2.5952768	4	10	1.5281969	2.6849466	
Normal Dice	2	30.7674%	3	8	11.9173271	16	20	4.6752311	43	88.9994019	98.9002646	108.9816249	158	14.3035785	7	43.9911559	58.2468197	68.996521	205	20.3132083	0	2	3.1487353	4	12	1.6900883	2.4275889	
