Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	0	72.837%	1	1	1	1	1	0	22	70	79.1533369	88.105152	130	13.1761611	0	21	31.1516098	37	123	14.7442134	0	1	1.8946772	3	11	1.3181548	2.8498977	
Boo	1	17.4134%	2	3.234992	8.7496006	13	20	5.6118733	32	85.929175	96.7551885	108	153	16.2055189	0	23	33.0215122	39.6865571	133	14.9522994	0	1	2.5204383	3	11	1.4810427	2.4330228	
Boo	2	7.5492%	4	9	12.9048166	17	20	4.4936987	42	99.9456127	112.053807	124.6875539	175	18.0147547	3	24	34.2298257	40.8615137	125	14.6399784	0	2	2.8761988	4	11	1.5338122	2.191305	
Boo	3	1.6976%	5	12.8059701	15.1656063	18	20	3.6236346	61	112	125.3460179	138.8522167	191	19.1367565	3	24	34.2061734	40.3813776	119	14.6356922	0	2	3.0229736	4	11	1.5420787	2.1099199	
Boo	4	0.5028%	6	14	16.1988862	19	20	3.1421226	68	126.9066667	140.8114558	155.24	202	20.5944149	3	23	32.6825776	38.12	119	15.177532	0	2	2.9717582	4	10	1.5718024	2.1125696	
Bowser	0	51.9984%	1	1	1	1	1	0	11	76.9941917	90.8632766	103.9980918	179	19.8539001	0	19.5758648	28.0643251	33.9958	121	13.0085025	0	1	1.8905159	3	11	1.366978	2.8859811	
Bowser	1	28.6006%	3	7	10.7541582	14.217294	20	4.726385	27	91.9689283	106.7411033	121.5324595	197	21.6191455	0	24	33.6564268	40.5438235	127	13.8820897	0	1	2.3099166	3	10	1.4672875	2.5706384	
Bowser	2	13.6026%	4	10	13.205742	17	20	4.2366711	37	105.9043539	121.6810757	137.7384341	226	23.1909077	3	24	33.2045344	39.3958192	122	13.4152252	0	1.0453343	2.5531001	3	10	1.4813495	2.3972476	
Bowser	3	4.3666%	5	12	14.8467853	18	20	3.7369965	48	120.0398055	137.2507672	154	228	24.4942355	0	23	31.5288325	37.4757043	111	12.9011229	0	2	2.7020565	4	11	1.4971978	2.3110887	
Bowser	4	1.4318%	6	14	16.1941612	19	20	3.1103941	61	138	155.5903059	173	252	25.7819338	3	21	29.1314429	34.8509852	102	12.3804822	0	2	2.7016343	4	9	1.5048783	2.313731	
