Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	4	6.24%	6	14.9453125	16.4358974	19	20	3.0185951	69	121.7617188	135.6410256	149.9453125	202	20.7774837	8	35	47.1948718	57	140	16.5208446	0	3	3.9919872	5	11	1.7831835	2.1689103	
Boo	3	12.576%	4	13	15.1812287	18	20	3.6739743	55	104.8935185	117.9252545	131	184	19.140247	6	36	47.8625954	57	129	16.6096637	0	2	3.4282761	4.2944862	11	1.6957538	2.423028	
Boo	2	23.98%	3	10	13.1882886	17	20	4.4599787	39	92.2415205	104.3853211	116.2533333	169	17.4712484	6	36	47.9649708	57.4225185	156	16.7571112	0	2	2.87598	4	9	1.6444255	2.7166806	
Boo	1	30.35%	2	6	10.0465917	14	20	4.9304867	31	81	91.7143987	102.1637037	149	15.5245338	5	36	47.9340362	57.9235907	134	17.0910094	0	1	2.4369028	3	9	1.4917529	2.9428666	
Boo	0	26.854%	1	1	1	1	1	0	22	68.0441059	77.2856185	86.1942756	126	13.4071888	3	30	42.0609965	51	142	16.7381025	0	1	1.9976912	3	9	1.3297734	3.195725	
Bowser	4	6.074%	6	15	16.8093513	19	20	2.7391607	69	133.2842742	150.5564702	166.7631048	232	24.6915484	9	42	56.989134	68.2258065	177	20.7619323	0	3	4.634837	6	12	1.9241489	1.8817912	
Bowser	3	13.648%	4	13	15.4281513	18	20	3.4597713	56	119	134.6392145	150	227	23.6497491	12	43	58.7778429	71	165	21.0002136	0	3	4.1946073	5	13	1.9063494	2.0540739	
Bowser	2	25.64%	2	9.9241707	12.9036639	16.9243181	20	4.3600696	36	104.9334677	120.3627925	135.8719512	206	22.7870075	9	44	59.7029641	72	173	21.8357628	0	2	3.6442278	5	12	1.8445502	2.3048362	
Bowser	1	26.378%	1	4	8.2508503	12	20	5.2328892	30	92.6110832	106.8724695	121.0407935	182	21.2302983	6	42.8871987	58.6622185	71.2413737	173	22.0903002	0	2	3.116764	4	11	1.7420287	2.5649405	
Bowser	0	28.26%	1	1	1	1	1	0	16	79.1423007	91.8962491	104.438	162	19.3620584	4	37	52.7745931	64.9535841	169	21.843037	0	1	2.4839349	3	10	1.5763839	2.8920736	
Bowser Jr	4	9.04%	6	15	16.8488938	19	20	2.7635345	59	106.4963265	119.5256637	132.2976	196	19.0160099	13	39	52.8915929	63.4464	162	19.6421914	0	3	4.3584071	6	11	1.8570233	1.9418142	
Bowser Jr	3	17.924%	5	13	15.3978638	18	20	3.3879357	49	93.4127135	105.3675519	117.0057398	168	17.3722945	12	41.9858586	55.7576434	66	168	19.5818472	0	2.3243243	3.75106	5	11	1.7880812	2.1752957	
Bowser Jr	2	32.286%	4	9.8238014	12.9601688	16	20	4.2	40	81.8568641	92.9710091	104	157	16.2880981	6	44	57.7338785	68.1586503	171	19.4060201	0	2	3.1633525	4	12	1.6563125	2.4453943	
Bowser Jr	1	31.622%	2	4	8.0935162	11	20	4.5897446	29	70	80.7198153	90.8974913	145	14.8939854	14	45.9849991	59.7262665	70.0983905	178	19.7525923	0	2	2.7363861	4	10	1.5371202	2.6482828	
Bowser Jr	0	9.128%	1	1	1	1	1	0	26	60	68.7035495	77.7688	116	12.9375218	18	49	62.9460999	73.4224	163	19.5668741	0	1	2.4077564	3	10	1.4151557	2.7813322	
Daisy	4	13.894%	7	14	16.0218799	19	20	3.1101526	75	115	124.8468404	136	165	14.7134182	12	38	50.4229164	59.6315104	145	17.1959949	0	3	4.3027206	5.2313433	11	1.7980036	1.9425651	
Daisy	3	19.598%	6	12	14.7225009	18	20	3.729568	73	100.9863418	110.1786917	119.9669811	150	13.0760144	12	41	53.013879	62.6817227	147	17.3186818	0	2	3.6893561	5	10	1.7462335	2.2102255	
Daisy	2	32.73%	4	8	11.6083175	15.6015687	20	4.735023	65	88	95.9203789	104	126	11.4148162	6	43	55.1040636	64	155	17.5123086	0	2	3.0016499	4	10	1.6272383	2.5455545	
Daisy	1	25.408%	2	3	6.8842519	9	20	4.7534181	61	74	81.1187815	88	105	8.6155821	12	43.3043478	55.5536052	64.7631944	167	17.3379495	0	1	2.4866971	3	9	1.4673652	2.7963634	
Daisy	0	8.37%	1	1	1	1	1	0	60	65	66.469773	68	74	2.194074	18	45.7510101	58.1997611	68	140	17.7607826	0	1	2.2320191	3	8	1.3735607	2.8989247	
Diddy Kong	4	3.85%	7	15	16.9418182	19	20	2.803475	61	113	129.2862338	145	214	22.8001741	11	44	60.0379221	72.2006173	153	22.1236928	0	4	4.8877922	6	12	1.9014367	1.6566234	
Diddy Kong	3	9.998%	5	13.971897	15.7406124	19	20	3.4589726	48	95.8656566	110.4230846	124.7283163	187	21.2526885	11	44	60.6203241	74	161	22.607461	0	3	4.0458092	5	12	1.8867999	2.0176035	
Diddy Kong	2	20.754%	4	11	13.7384544	17	20	4.3144929	36	81	94.5587357	107.8683692	170	19.4774969	10	43.4293673	60.2143201	73.0198079	177	23.1782301	0	2	3.2903537	4	11	1.729912	2.3557868	
Diddy Kong	1	28.312%	3	6.5555902	10.5788537	14.0364343	20	4.9006944	21	68.8399849	81.4933597	94.1017151	147	18.3999866	10	41.6386973	58.2271122	71.3503704	187	23.0981982	0	1.261704	2.6200904	4	10	1.5504342	2.6906612	
Diddy Kong	0	37.086%	1	1	1	1	1	0	14	56	65.9603624	77	119	15.5646563	5	35	50.9890525	63.1718107	161	22.272734	0	1	2.076363	3	9	1.3852769	3.0210322	
Donkey Kong	4	9.394%	7	16	17.1477539	19	20	2.5134706	48	106.5702663	124.3142431	141.8946006	214	25.7578849	15	52.6009615	69.153928	82.7892012	166	22.7133825	0	3	4.7034277	6	13	1.9636832	1.7489887	
Donkey Kong	3	20.848%	5	13	15.6188083	18	20	3.18859	30	91.84725	109.2226592	125.7546898	209	24.5846623	15	54	70.4840752	83.4644095	200	23.1714293	0	3	4.1146393	5	12	1.8936114	1.9665196	
Donkey Kong	2	35.12%	4	10	12.7115143	16	20	3.9010988	19	79.7630943	96.2062073	112.4659763	197	24.1715847	9	55	71.5742597	84.5719064	196	23.3912147	0	2	3.5535877	5	12	1.8006196	2.1892938	
Donkey Kong	1	22.944%	1	4	6.2420447	8	20	3.8270135	10	65.9648451	82.3997559	98.8956813	167	24.4352222	8	53.6567667	70.7404986	84.2548732	203	24.0896716	0	2	3.2289923	4	11	1.7123474	2.3363842	
Donkey Kong	0	11.694%	1	1	1	1	1	0	0	50	62.5791004	80	140	21.7480763	6	38	53.8905422	65.9047379	174	22.2910914	0	2	2.7333675	4	9	1.4697986	2.6293826	
Dry Bones	4	13.76%	5	14	15.8550872	19	20	3.3322447	67	121	135.3520349	150	208	20.8491863	12	39.2040816	51.6213663	61	155	17.5018963	0	3	4.6229651	6	12	1.838935	1.8373547	
Dry Bones	3	21.526%	4	11	13.8233294	17	20	4.2306155	45	101.9875227	115.4851807	129	181	19.1399303	9	42	53.97287	63.952629	151	17.4448603	0	3	3.8990988	5	12	1.8041839	2.1198551	
Dry Bones	2	29.336%	3	7	11.2362972	15	20	4.945398	46	88.5660083	100.9018953	113	157	17.6407268	9	43	55.322607	65	156	17.5839748	0	2	3.2926098	4	10	1.6751875	2.4136215	
