Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Donkey Kong	2	8.7172%	5	12	14.922302	18	20	3.6597857	49	81.9987496	98.8225864	113.711184	202	22.4343405	0	37.9931596	54.106049	68.9838277	169	22.6909423	0	1	2.4584614	3	11	1.4930996	2.2739928	
Donkey Kong	3	1.6428%	6	14.6817062	16.4394299	19	20	2.9910597	63	100.3645778	118.0540845	133.916727	224	23.6308111	0	33.7809877	50.0227356	64.9357383	169	22.6732596	0	2	2.8004626	4	10	1.561321	2.0959946	
Donkey Kong	4	0.27605%	8	16	17.5855823	19	20	2.2657931	75	121	137.934251	154.0257264	232	24.0865024	0	31	47.9882268	63.0613095	139	23.0814856	0	2	2.9775403	4	9	1.6183166	2.0177504	
Donkey Kong	0	67.1953%	1	1	1	1	1	0	0	50	62.3252594	80	170	21.0230559	0	37.4061717	52.8473398	66.9975255	177	21.8541352	0	1	1.7128839	2.5982085	11	1.3726946	2.8057208	
Dry Bones	1	50.8797%	2	5	9.3697944	13.7226651	20	5.3498804	24	73.9995064	84.2556324	94	144	14.61054	0	27.8276153	43.5658622	57.4630046	172	21.5032228	0	1	2.5892959	3.9986781	12	1.541311	2.3056809	
Dry Bones	2	13.87685%	4	10	13.6010838	17	20	4.4722684	38	87	98.9372372	110	162	16.6444283	0	22.0713674	38.2224172	51.3232755	162	20.8635621	0	2	3.1743876	4	12	1.6427981	2.0035527	
Dry Bones	3	3.8931%	5	13	15.7105849	19	20	3.3948033	48	100.9421034	113.6606303	126.2916494	180	18.1498386	0	20.9922355	36.5347281	49.4370732	143	20.5947739	0	2	3.4160566	4	12	1.6740078	1.8751381	
Dry Bones	4	1.0073%	6	15	16.822744	19	20	2.8275321	59	115	128.2621364	141.9731616	195	19.4532415	0	18	33.7877991	46.3999475	156	20.1878253	0	2	3.4692247	4.9346048	12	1.6856537	1.8704457	
Dry Bones	0	30.34305%	1	1	1	1	1	0	20	60	69.0883003	75	120	11.3924702	0	33.9803916	49.0503921	62.9928595	174	21.2462836	0	1	2.0949311	3	10	1.3615518	2.5665877	
Goomba	1	24.59545%	2	6	10.562655	15	20	5.3910662	15	64.2147131	73.7805753	82.998768	127	13.3848414	0	30.603585	45.7544973	59.7901478	154	20.9048475	0	1	2.0394768	3	10	1.3468553	2.6869889	
