Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Donkey Kong	3	20.84%	5	13	15.586981	18	20	3.1964051	27	91.9465839	108.9018234	125.4054878	217	24.5767132	11	52.8575	68.3102687	80.4596774	191	22.0420944	0	3	4.0345489	5	11	1.8876699	2.0144914	
Donkey Kong	2	35.08%	4	10	12.7081891	16	20	3.9122427	19	79.2800093	96.0868871	112.2907228	194	24.1848846	14	53.3319177	69.1654504	81.7107539	189	22.0841785	0	2	3.518073	5	12	1.7829688	2.227138	
Donkey Kong	1	23.314%	1	4	6.239898	8	20	3.8575404	10	65.4765241	82.383289	99.2571035	174	24.7623057	8	52	68.2458609	80.920702	209	22.9817547	0	2	3.1769752	4	11	1.6769125	2.3947842	
Dry Bones	0	8.348%	1	1	1	1	1	0	35	60	67.6760901	75	105	10.8658245	21	54	69.5313848	81.6492754	176	21.7089549	0	1	2.5110206	3	8	1.4502609	2.7045999	
Dry Bones	4	13.862%	5	14	15.8417256	19	20	3.391141	63	121.0072267	135.6169384	150.2764172	200	21.0331614	12	42	56.6574809	68.4907407	166	20.7633117	0	4	4.836243	6	13	1.879701	1.738133	
Dry Bones	3	21.536%	4	10.9863548	13.7869936	17	20	4.2868828	50	102	115.7181464	129.0888199	185	19.3576729	12	44	59.0602712	70.6423077	173	21.1017618	0	3	4.0740156	5	11	1.8340314	2.0297177	
Dry Bones	2	29.526%	3	7	11.1736492	15	20	4.9672581	47	89	101.4116372	113.832479	160	17.6983758	8	45.1941268	60.6173542	72	183	21.3408161	0	2	3.4285037	5	11	1.7443318	2.3193118	
Dry Bones	1	26.728%	1	1	5.9038101	9	20	5.2358923	35	74.6242823	85.4796468	96.2231102	134	15.6038523	15	47.3016658	62.5886711	73.9552239	187	21.3092387	0	2	2.859997	4	9	1.5806905	2.5743789	
Goomba	0	22.746%	1	1	1	1	1	0	19	50.2047284	57.401653	64.3340976	97	10.4112874	21	47	61.212345	71.9848617	160	19.7505507	0	1	2.0881913	3	9	1.3320097	2.928339	
Goomba	4	9.152%	5	14	16.09375	19	20	3.2542596	56	107	120.7255245	134.94	186	20.1341614	19	50	64.413243	75.18	159	20.2738116	0	3	4.6020542	6	11	1.8976396	1.8159965	
