Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Donkey Kong	2	14.458%	3	10	13.5756061	17	20	4.4085682	27	79.9897959	97.2857933	114.0387755	192	24.8330699	8	48.1674107	64.5744916	77.875	178	22.7211961	0	3	4.1763729	5	13	1.9610301	2.0467561	
Donkey Kong	1	24.87%	2	5	9.3578159	13	20	5.1923809	20	65.3331455	81.4340169	97	178	23.2096589	1	44.4522565	60.9740249	74.4831731	183	23.3100336	0	2	3.4238038	5	12	1.7951047	2.373462	
Donkey Kong	0	53.518%	1	1	1	1	1	0	0	50	62.1865541	80	150	20.5837714	1	34.9829919	50.0520573	61.797456	193	21.557712	0	2	2.8162487	4	11	1.5983228	2.6721103	
Dry Bones	4	2.134%	7	15	16.8002981	19	20	2.7672343	64	107.515625	119.9240862	132	185	18.3249552	9	31	43.6747891	54.671875	115	17.2945742	0	3.921875	4.7825679	6	13	1.9239417	1.8584817	
Dry Bones	3	10.064%	6	13.0787628	15.7525824	19	20	3.3114459	54	97.2142857	109.5580286	121	166	17.0852455	10	36	48.8942766	58.9642857	154	17.680883	0	3	4.3380366	6	12	1.8489244	1.9918521	
Dry Bones	2	25.206%	4	10	13.6808363	17	20	4.1057166	45	83.7344598	94.9039118	105.9090774	154	15.6761507	7	37.7954484	49.8061573	59.2819775	149	17.2311012	0	2	3.5519321	5	11	1.7129284	2.3288106	
Dry Bones	1	37.432%	3	5	9.4773638	13	20	4.8967405	33	71.1344665	81.3996046	90.9980603	142	13.778641	7	38.5092001	50.8429152	60.6533613	148	17.4769934	0	2	2.9064437	4	10	1.5586624	2.6368348	
Dry Bones	0	25.164%	1	1	1	1	1	0	35	65	70.1120649	75	110	10.6733333	9	42.9006816	55.3538388	65	167	17.8892785	0	1	2.4663805	3	9	1.4424607	2.8241138	
Goomba	4	3.028%	5	14	16.3081247	19	20	3.2553718	62	107	119.6651255	133.8163265	177	19.1856194	14	46	61.652576	74.244898	157	21.2610257	0	4	5.5568032	7	13	1.9538288	1.5594452	
Goomba	3	11.734%	4	12	14.6971955	18	20	3.9692667	46	95.0861006	107.744844	120.0188834	171	18.318811	19	49.7266865	66.0695415	79.2717122	190	22.9570917	0	4	4.9369354	6	12	1.9621728	1.7053008	
Goomba	2	23.006%	3	8	12.0144567	16	20	4.9679179	33	78.8940665	90.1450926	101.4846791	142	16.3033351	13	49	65.8166565	79.1665026	183	23.2113241	0	3	3.9445362	5	11	1.8208614	2.0809354	
Goomba	1	30.026%	1	2	7.4690681	12	20	5.9238907	26	64	74.1757144	84	121	14.2200182	15	47	64.2903484	77.6020439	206	23.0478079	0	2	3.1015786	4	11	1.6196294	2.4555385	
Goomba	0	32.206%	1	1	1	1	1	0	15	51	58.326523	65.1179138	97	10.4049509	15	43	59.3851456	71.48972	179	22.1197019	0	1	2.3844004	3	9	1.3940141	2.801093	
Hammer Bro	4	5.826%	5	14	15.7501914	19	20	3.3679833	62	110.9066667	122.2396155	134.55	180	17.9963641	12	41.5633333	53.6316512	63	137	17.7604667	0	4	5.2389289	6	12	1.9055726	1.6721593	
Hammer Bro	3	19.748%	4	11	13.9637131	17.4408759	20	4.1579171	40	98.7905478	110.289447	122.4713115	166	17.5905216	5	45.6014493	58.3076767	68.3759184	152	18.1240724	0	3	4.6722706	6	12	1.8592206	1.8222605	
Hammer Bro	2	30.632%	3	6	10.4682418	15	20	5.1527478	35	81.1702419	92.2752024	103.9886906	142	16.2418813	11	45.4212454	58.4889005	69	155	18.3018799	0	2.0117509	3.7159833	5	11	1.7492028	2.2117394	
Hammer Bro	1	29.33%	1	1	4.2802329	7	20	5.262161	19	63.9473244	74.6831913	86	123	14.989766	11	45	58.3666553	68.7702932	156	18.2551068	0	2	2.8842823	4	10	1.5509228	2.6017047	
Hammer Bro	0	14.464%	1	1	1	1	1	0	22	48	53.8461007	60	91	9.5067636	11	43	55.1443584	64.0042941	151	17.0907799	0	1	2.1704923	3	8	1.3405676	2.9383296	
Koopa	4	3.64%	6	15	16.50447	19	20	3.0213659	63	107	119.9071429	133	209	19.4399513	0	32.25	44.7598901	54	127	16.9901729	0	3.625	4.8153846	6	11	1.8869082	1.8384615	
Koopa	3	13.822%	4	12	15.0451266	18	20	3.7409566	53	96	109.4094921	122	195	18.8580021	8	36.9537815	49.8990016	60	159	18.9373974	0	3	4.4468239	6	12	1.9302783	1.9622341	
Koopa	2	27.982%	3	9	12.5922014	16	20	4.532474	44	83.0859788	94.8677007	106	165	16.8640821	8	38	51.0265885	61.473833	180	18.9480254	0	2	3.6825102	5	11	1.7865057	2.2738189	
Koopa	1	36.01%	2	3	7.585582	11	20	5.2284127	33	70	80.9256318	91.1074879	140	15.5981425	8	38.4348509	51.8536518	62.1375905	164	18.8124395	0	2	3.0136073	4	10	1.6184795	2.5761733	
Koopa	0	18.546%	1	1	1	1	1	0	31	58	67.7768791	76.3285398	137	13.6849019	12	40.2547619	53.669147	64	168	18.8717482	0	1	2.5065243	3	10	1.441922	2.8057802	
Luigi	4	3.162%	5	14	16.1496471	19	20	3.3000829	67	113.0918367	127.7944339	141.8061224	193	20.1061728	6	35	49.4155598	60.9030612	174	20.307316	0	4	5.1752056	6	12	2.0158242	1.7058824	
Luigi	3	12.734%	3	12	14.8724207	18	20	3.9698574	52	102	115.598398	129	192	19.4324615	6	40	55.5927438	68.075974	167	21.6860858	0	3	4.805874	6	12	1.9594628	1.8019475	
Luigi	2	26.692%	2	9	12.4692871	16.7481437	20	4.7877433	38	86.6982312	98.4045407	110	160	16.896	9	40.5764706	56.2127229	68.3906582	184	21.6424376	0	3	3.9446276	5	12	1.8258529	2.1170388	
Luigi	1	36.174%	1	3.8688302	7.884716	12	20	5.6097507	32	72.7300195	83.1828938	93.1245547	139	14.607235	10	41.0245119	57.0695527	69.1068783	179	21.7419901	0	2	3.1347929	4	12	1.6378508	2.4896887	
