Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	1	16.5878%	2	5	9.7946841	14	20	5.3398665	30	84.104055	95.0469984	105.9950838	152	15.6393452	0	21	30.9565464	37.2678839	117	13.3976417	0	1	2.4193443	3	10	1.4479861	2.4281219	
Boo	0	75.169%	1	1	1	1	1	0	15	70.3871102	79.4728199	88.7803507	128	13.1651962	0	21	29.7396799	35.9886827	125	13.3305213	0	1	1.7972143	3	9	1.2840221	2.839942	
Boo	4	0.3528%	6	15	16.6944444	19	20	2.8012697	73	120.140625	134.4518141	149	196	20.0826651	6	21	30.2834467	36	93	12.8878882	0	2	2.7811791	4	9	1.54111	2.1768707	
Boo	3	1.3598%	5	13.1933333	15.7698237	19	20	3.323103	59	107.9324534	120.5133108	133	186	18.447329	3	23	31.9994117	38.1473214	115	13.3829737	0	2	2.8649801	4	9	1.5161072	2.1089866	
Boo	2	6.5306%	3	10.1350411	13.6968653	17	20	4.1853546	46	97	108.7854102	120.8742401	175	17.3027817	3	23	31.9925275	38	120	13.2705985	0	2	2.739687	4	10	1.5204417	2.2063516	
Bowser	1	28.3736%	3	7	10.6996206	14.5084276	20	4.7928557	19	91.9817574	106.7486184	121.51151	200	21.5669615	0	24.4886649	34.3226661	41	125	13.7932999	0	1	2.2721685	3	10	1.4442659	2.4990837	
Bowser	0	52.6592%	1	1	1	1	1	0	13	77	91.0112877	104.0096853	180	19.8111866	0	20	28.5335972	34.0334017	123	12.8514723	0	1	1.8003236	3	10	1.3380825	2.8515359	
Bowser	4	1.4228%	6	14	16.1370537	19	20	3.1175402	68	137.6568954	155.4787742	173.712963	244	26.1127863	3	21.6927224	30.141833	35.6363636	106	12.3845917	0	2	2.6861119	4	10	1.4891647	2.2104301	
Bowser	3	4.3058%	5	12	14.7673428	18	20	3.8008849	55	120.6543694	137.6389521	154.9150182	228	24.8124224	3	24	32.2584886	38	125	12.976267	0	2	2.658182	4	9	1.4882381	2.2355892	
Bowser	2	13.2386%	4	10	13.135592	17	20	4.3020223	38	105.8858591	121.7070083	137.8195955	218	23.2089355	2	24.5309648	33.7924705	40	127	13.1592812	0	1	2.5213089	3	10	1.4750259	2.3237502	
