Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Koopa	0	26.7124%	1	1	1	1	1	0	26	59	68.8068156	77.9972312	147	13.8293345	7	73.4714818	89.3623269	102.9999917	245	23.1552806	0	4	5.6500606	7	17	2.2173789	2.5963889	
Koopa	1	42.8266%	4	6	10.173205	14	20	4.7050307	26	67	78.2660631	88.6358465	160	15.59289	6	69.9997446	85.1262482	97.9986179	240	21.9197038	0	5	6.1386904	8	19	2.2178494	2.4291067	
Koopa	2	23.95652%	6	12	14.546896	18	20	3.6943245	34	78.2272953	90.529713	101.9698694	172	16.9322968	4	67.2808411	81.5502076	93.4387278	234	20.9189652	0	5	6.7535569	8	17	2.2378696	2.2166901	
Koopa	3	5.79908%	8	15	16.7012182	19	20	2.7071645	45	89.9892608	102.0649448	113.62177	190	17.3239541	10	65.2907652	79.2293398	90.6559809	209	20.2602067	0	6	7.1822496	9	17	2.2616766	2.0708043	
Koopa	4	0.7054%	10	17	17.9397788	20	20	1.9639369	59	102.7241506	115.1013609	127	195	17.9161664	7	62	75.7573008	86.7517264	200	20.0274312	0	6	7.4237879	9	18	2.3039065	2.0221718	
Donkey Kong	0	90.96564%	1	1	1	1	1	0	0	50	64.792304	80	170	20.5315028	0	46.1483622	58.76606	68.6968876	197	17.8125515	0	4	5.5236863	7	17	1.9918354	2.6935067	
Donkey Kong	1	7.55032%	6	13	15.2883768	18	20	3.3438786	60	77.6453338	90.9949221	103	187	18.7762842	24	56.9997265	70.9977378	82.9783763	222	19.4245163	0	5	6.3556723	8	17	1.9582962	2.3962799	
Donkey Kong	2	1.36604%	9	16	17.556481	19	20	2.1662332	66	88.9527507	103.2605195	115.9706689	188	19.2745454	24	59.0348997	73.6430998	85.9142412	207	19.9244168	1	5	6.5482856	8	16	2.1001967	2.3082047	
Donkey Kong	3	0.1121%	11	18	18.5733898	20	20	1.526335	76	102.6034483	116.9702052	129	193	18.6031278	24	61.0568966	74.5050847	85.9699707	190	18.8653859	1	6	7.1807315	9	16	2.0957422	2.0677966	
Donkey Kong	4	0.0059%	14	19	19.1050847	20	20	1.1871378	95	119	132.0677966	144	186	17.2643106	31	64	77.1389831	88	139	17.5834381	2	6	7.6881356	9	13	2.1717044	1.8949153	
