Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	4	0.208%	12	17	18.2307692	20	20	1.9276868	82	117	126.6153846	139	164	15.1195923	24	54	64.2692308	74	110	17.1521645	2	4	5.4711538	7	11	2.061351	2.7980769	
Boo	0	72.668%	1	1	1	1	1	0	22	70.9917501	79.7432157	89	126	13.2357246	18	56	69.7265647	80.7181098	195	19.2796018	0	4	5.7241977	7	16	2.1505073	2.6901525	
Boo	1	18.822%	3	7	11.2244988	15.177039	20	4.9187399	35	81.519	91.9367761	102.0405341	140	15.0900227	15	61	73.6688981	84.1787185	177	18.625886	0	4	5.5608331	7	15	2.1769536	2.7162894	
Boo	2	6.836%	6	12	14.9480611	18	20	3.5443645	54	92.7947531	104.0163839	115	169	16.0069934	21	59	71.9210064	82.7947531	171	18.3574695	0	4	5.6942657	7	13	2.229484	2.6489175	
Boo	3	1.466%	9	15	16.8494624	19	20	2.6171551	61	104	115.9454297	128	166	17.1351986	24	57.9166667	69.5675307	80	167	18.3480786	1	4	5.8144611	7	15	2.3513854	2.6125512	
Bowser	4	0.804%	9	16	17.2064677	19	20	2.4605662	73	133	149.6119403	167	217	23.352238	23	56	69.1616915	80	145	20.0758816	0	4	5.8432836	7	13	2.3800199	2.5646766	
Bowser	0	50.338%	1	1	1	1	1	0	13	78	91.8501331	104.9791474	170	19.7550926	6	48.4848296	63.122333	74.8439648	175	20.9221252	0	3	4.4491637	6	14	2.1681582	3.167746	
Bowser	1	28.822%	2	4	8.5993718	13	20	5.5035384	26	94.3449001	109.4024703	124.6884921	204	21.9255775	11	58.7722555	73.9022275	87.1309259	192	21.6938489	0	4	5.509125	7	15	2.2628832	2.760322	
Bowser	2	15.392%	4	10	13.5026871	17	20	4.22908	43	108	123.5882277	139.0772201	212	23.1249546	11	60	74.345894	86.9462494	188	21.1029467	0	4	5.9844075	7	15	2.2914049	2.543659	
Bowser	3	4.644%	6	14	15.9926579	19	20	3.2001201	61	119.8016529	136.1718346	151.5041322	217	23.8239708	16	57	71.4418605	83.5041322	148	20.3954515	0	4	6.0288544	8	16	2.2255531	2.5249785	
Bowser Jr	4	0.924%	11	16	17.7813853	19	20	1.9288872	70	106	117.5324675	129	179	17.1926324	14	62	74.512987	84	143	18.7407364	2	6	7.3160173	9	13	2.1461036	2.0238095	
Bowser Jr	0	18.706%	1	1	1	1	1	0	29	58.9423969	67.393029	76	120	12.8166103	21	75.2736928	90.957233	104.0032008	190	22.6144685	0	4	5.2067786	7	13	2.1327205	2.7705549	
Bowser Jr	1	50.68%	2	5	9.3186459	12.9745754	20	4.8489698	32	70	80.4389108	90.5853596	143	15.1417173	12	68.5970107	83.3194159	95.9653004	203	21.6681041	0	5	6.0526835	7.4370287	15	2.1924268	2.4617206	
Bowser Jr	2	23.27%	4	11	14.2302215	17.406704	20	3.8448779	42	81	92.409884	103	157	16.344461	16	68	82.224667	94.0369526	194	20.7593383	0	5.9734414	7.060679	8.5264998	16	2.2146747	2.1068328	
