Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	1	29.1698%	2	5	9.1457057	13	20	5.0488531	21	81.9998836	92.713889	103.500356	151	15.6993065	0	38	51.7915378	62.6781432	178	19.4413778	0	1	2.4904936	3	11	1.5303252	2.8471707	
Boo	0	23.5802%	1	1	1	1	1	0	19	68.8874734	77.4701996	86.0473669	129	13.2363218	0	31.9894247	45.2071484	55.475381	182	18.9745009	0	1	2.0244018	3	11	1.3440378	3.1138158	
Boo	4	7.7744%	5	14	16.2661813	19	20	3.1534339	50	123.4066054	137.8587158	152.0801445	217	20.9179864	3	38	51.1887477	61.7081495	164	18.6189491	0	3	4.2804847	5	13	1.8179158	1.9720622	
Boo	3	14.245%	4	12	14.8213121	18	20	3.8717996	47	107	119.9217129	132.9593969	192	19.0067205	5	38.3148765	51.9692524	62.4385945	170	18.9959286	0	2	3.6315058	5	12	1.7804464	2.271211	
Boo	2	25.2306%	3	9	12.5734561	16.3923637	20	4.6337907	31	93.9993084	106.1601944	118	175	17.5917655	0	38.6016179	52.0762725	62.9217096	176	19.1350541	0	2	3.0405777	4	12	1.6779157	2.5645367	
Bowser	1	26.581%	1	4	8.2643146	12	20	5.1995453	22	91.9739292	106.4434295	120.9922652	196	21.519467	3	39.0520781	52.4845717	62.943873	177	18.5464704	0	2	2.8587036	4	12	1.6622706	2.6966405	
Bowser	0	27.6824%	1	1	1	1	1	0	4	77.953017	91.4320507	104	172	19.4568667	3	34	46.7273936	56.170825	162	17.9891266	0	1	2.2206167	3	11	1.4748497	3.039209	
Bowser	4	6.2404%	5	15	16.8653612	19	20	2.7557294	56	133.7861272	150.7378053	167.5036476	251	24.8545271	6	38.8869549	51.4645215	61.6348624	157	17.9788593	0	3	4.3686943	5.9831798	12	1.8359288	1.9593616	
Bowser	3	13.7788%	4	13	15.4560422	18	20	3.4361157	47	118.4826877	134.5899207	150.5456497	238	23.4983764	6	40.0130219	53.0431678	62.9341336	178	18.0203771	0	3	3.8956948	5	13	1.8225184	2.1786513	
Bowser	2	25.7174%	2	9.9941307	12.9394271	16.5556145	20	4.3186937	36	104.9868342	120.4872032	135.9611623	220	22.707593	5	40.9940392	53.7099707	63.9479183	166	18.248788	0	2	3.3808628	4.6682035	12	1.7670481	2.4282937	
Bowser Jr	1	31.09%	2	4	7.9726542	10.9998069	20	4.6072647	29	70	80.7392602	90.9794531	151	14.9655085	7	48.9981424	66.0890061	79.0893772	200	23.4173387	0	2	2.6909424	4	10	1.5519542	2.5926279	
Bowser Jr	0	8.7684%	1	1	1	1	1	0	26	59	68.4551572	76.9517752	132	12.9823867	15	52	69.2138817	82.0332103	195	23.1675535	0	1	2.3605903	3	10	1.4337588	2.7213859	
Bowser Jr	4	9.3438%	6	15	16.683191	19	20	2.8299021	50	107.6927195	120.7616601	133.4332629	194	19.0833603	9	42	58.6840258	71.6939361	179	22.7808276	0	3	4.4444016	6	13	1.8644498	1.8429547	
Bowser Jr	3	18.3274%	5	13	15.3485212	18	20	3.4523959	34	93.1233011	105.6329103	117.667803	184	17.7449974	3	45	61.8147801	74.9698763	190	23.0303973	0	2	3.7349433	5	12	1.8105879	2.1260408	
Bowser Jr	2	32.4704%	4	9	12.8312616	16	20	4.2402584	34	81.8682042	93.1365983	104	167	16.4943599	8	47	64.0205356	76.9982934	200	23.1674113	0	2	3.1516335	4	11	1.6917805	2.3838881	
Daisy	1	25.2294%	2	3	6.8068771	9	20	4.7534859	60	74	81.3695213	88	106	8.6329562	9	46.4777325	62.7464228	74.9839403	195	22.3318603	0	1	2.4837531	3	10	1.4824593	2.7132314	
Daisy	0	8.1704%	1	1	1	1	1	0	60	65	66.6117204	68	76	2.1701079	14	49.8180111	65.8149662	78.6280263	188	22.4780474	0	1	2.1735044	3	8	1.3502849	2.841501	
Daisy	4	14.4328%	7	14	16.0275484	19	20	3.1287994	75	114.9983249	124.7823153	135.9623656	173	14.6992904	9	42	58.0287955	70.4319214	179	22.0066096	0	3	4.4700959	6	13	1.853529	1.8264647	
Daisy	3	19.765%	6	12	14.6683997	18	20	3.7400942	68	101	110.476934	120	149	12.9989712	6	44	60.1996357	72.7048531	199	22.1041113	0	2.2724175	3.7727599	5	13	1.8060468	2.1091222	
Daisy	2	32.4024%	4	7.8826466	11.4990646	15	20	4.7329386	64	88	96.0330222	104.1863218	128	11.432907	9	46	62.530578	74.9493278	204	22.4405809	0	2	3.0439412	4	11	1.6691144	2.4442572	
Diddy Kong	1	28.4042%	3	7	11.0989132	15	20	4.8426793	21	68.9444141	81.206216	93.1237344	158	17.8677424	6	37	49.7660698	59.3967042	166	17.5372141	0	1	2.4049542	3	11	1.4694804	2.8372142	
Diddy Kong	0	39.7472%	1	1	1	1	1	0	0	56	66.3020842	77	133	15.5413535	4	31	43.1837362	52.4374261	170	16.9808713	0	1	1.9285686	3	10	1.3181697	3.1091347	
Diddy Kong	4	3.5314%	7	15	16.9812539	19	20	2.6986705	51	111.9350403	127.4315569	142.6248886	215	21.9949223	10	40	52.2462479	61.9959136	145	17.0253507	0	3	4.400068	6	12	1.8312436	1.8817466	
Diddy Kong	3	8.8832%	5	13.3940032	15.7703671	19	20	3.4051535	37	94.971741	109.2192678	122.9754185	195	20.5130858	8	40.3723459	52.7620902	62.1785977	165	17.2388678	0	2	3.6725504	5	13	1.7768979	2.2112752	
Diddy Kong	2	19.434%	4	11	13.8603895	17.147777	20	4.2547666	29	80.9359675	94.1965216	107	177	19.2528025	6	39.9980777	52.1968097	61.9720894	162	17.5239768	0	2	3.010991	4	11	1.6389072	2.5328805	
Donkey Kong	1	20.294%	1	3	5.4081216	7	20	3.8083539	10	67.9642202	84.2861437	100.9483154	194	24.2144111	5	52.9999319	69.6458264	82.9633175	209	23.4453546	0	2	3.0669952	4	14	1.6629416	2.3927565	
Donkey Kong	0	13.7958%	1	1	1	1	1	0	0	50	62.4623436	80	160	21.0874677	4	36.9862189	51.9118717	63.251814	190	21.2081351	0	1	2.2443207	3	9	1.4164745	2.8729613	
Donkey Kong	4	11.076%	7	15	16.8472734	19	20	2.6205712	37	108.930967	126.2691766	142.9924753	233	25.3270099	11	52.5011789	68.7142831	81.5804679	194	22.4983086	0	3	4.7821596	6	14	1.974485	1.6966775	
Donkey Kong	3	21.8394%	5	13	15.1951609	18	20	3.3305115	26	93.9970286	111.0199273	127.7039533	223	24.6067241	10	54	70.1532093	82.9405502	206	22.5180156	0	3	4.098858	5	14	1.913842	1.947929	
Donkey Kong	2	32.9948%	3	9	11.9975755	15	20	4.0263044	17	81.738211	98.2359523	114.9839318	216	24.4641328	9	54.9985184	71.1870355	83.9794597	210	22.8830258	0	2	3.5187666	5	12	1.8168291	2.1877932	
Dry Bones	1	26.0364%	1	1	5.6652025	9	20	5.1530528	31	75	86.0704091	97	144	15.7088962	9	45.9603118	58.9532193	68.9891395	193	18.8505451	0	2	2.6836659	4	11	1.5387485	2.6514802	
Dry Bones	0	7.8906%	1	1	1	1	1	0	30	60	67.3539401	75	110	10.8531927	18	52	65.4179403	75.3072578	183	18.7913729	0	1	2.3337389	3	9	1.4081306	2.7760373	
Dry Bones	4	14.643%	5	13.5888664	15.77129	19	20	3.3938519	57	121.6000165	135.8340231	150	215	20.690413	6	39.9632726	52.9725739	63.0967712	177	18.6985061	0	3	4.6311958	6	13	1.834003	1.7841972	
Dry Bones	3	21.9362%	4	10.9524542	13.7402841	17	20	4.2682452	48	102.3605121	115.7388426	129	187	19.1445476	9	42	55.2664363	65.3427926	176	18.6557524	0	3	3.8513416	5	13	1.7975079	2.1092258	
