Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	1	28.8238%	1	1	4.5605481	6	20	5.1121625	31	88	98.8029892	110	155	15.8553885	0	37.991157	51.8480075	63.0752455	183	19.8803214	0	2	3.0011796	4	13	1.7337381	2.5905467	
Boo	0	19.4888%	1	1	1	1	1	0	19	70	78.8990087	88	134	13.3147973	0	29.9991721	43.7323591	54.9156873	164	19.3434713	0	1	2.085721	3	11	1.460328	3.0844382	
Boo	4	5.0636%	5	14	15.9795472	19	20	3.3157174	63	129.4839306	142.7309029	155.9297554	215	19.6614562	3	34	47.4962082	58	143	18.6534402	0	3	4.7350502	6	14	2.0215358	1.8647602	
Boo	3	18.0096%	4	11	14.0916388	18	20	4.1614035	41	118	131.1517857	144	211	19.0353772	1	38.3682271	52.4115361	63.7238947	197	19.5229712	0	3	4.4527141	6	15	1.9905289	1.94574	
Boo	2	28.6142%	2	6	10.7479889	15	20	5.1238804	38	102.9609231	114.3200719	126	178	17.2375934	2	38.5893258	52.4802511	63.9795205	192	19.6398356	0	2	3.7511026	5	13	1.8905562	2.2419987	
Bowser	1	31.2582%	2	5	9.3486101	13.0551444	20	5.224999	15	90.9997915	105.8700309	120.4818036	196	21.4218491	0	36	49.6346431	60.6284004	178	19.1221514	0	2	3.1244026	4	12	1.8394356	2.5913136	
Bowser	0	38.6214%	1	1	1	1	1	0	14	76.9888887	90.7932908	103.9950833	173	19.7065961	0	31.6466992	44.7417494	54.9887555	179	18.4628095	0	1	2.4526092	3	12	1.6424807	2.9372472	
Bowser	4	1.959%	6	15	16.7626747	19	20	2.8586539	54	132	148.557121	165.1392573	238	24.8174813	3	34	46.9544666	57	147	18.1713575	0	3	4.6997448	6	14	2.0700334	1.9244513	
Bowser	3	8.4052%	4	13	15.5344358	18	20	3.4817373	52	119.957612	136.9378956	153.5645727	229	24.257447	3	37.9360928	51.307976	62	167	19.1636998	0	3	4.4129348	6	14	2.0591358	2.0171323	
Bowser	2	19.7562%	3	10	13.3583551	17	20	4.3644897	29	104.972644	120.6993248	136.0840654	219	22.730661	2	37.2901889	50.9935919	61.9504337	191	19.0519404	0	2	3.7853636	5	13	1.9722292	2.2841437	
