Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	4	0.522%	7	15	16.48659	19	20	2.9524995	82	123	138.4712644	153	208	19.9803576	9	22	31.0421456	37	83	13.3973372	0	2	2.8965517	4	8	1.467668	2.1149425	
Boo	3	1.658%	6	13	15.2458716	18	20	3.6202928	65	113.5	126.2870929	139.0555556	184	19.2338059	3	24	33.2557298	39	100	13.8028417	0	2	2.9963812	4	9	1.5987741	2.1266586	
Boo	2	7.448%	4	9	13.0058164	17	20	4.4963133	50	99.775	112.1476907	124.975	177	17.7579256	3	24	33.646348	40	110	13.8223076	0	2	2.8410311	4	9	1.5107821	2.2075725	
Boo	1	17.486%	2	3.7907796	8.7850557	13	20	5.5975108	38	86	96.8193984	108	155	16.1425291	0	22.8958333	31.8717831	38.6903495	124	13.624275	0	1	2.510008	3	9	1.4737349	2.4473293	
Boo	0	72.886%	1	1	1	1	1	0	22	70	79.0932415	88	127	13.1613139	0	21	30.012156	36	116	13.4275945	0	1	1.8754768	3	9	1.3078521	2.8772878	
Bowser	4	1.456%	6	14	16.1758242	19	20	3.1443073	74	137.2777778	154.7678571	171.4444444	250	26.3229564	6	21	28.1826923	34	81	11.2556885	0	2	2.6373626	3	8	1.4191894	2.3695055	
Bowser	3	4.378%	5	12	14.6664381	18	20	3.8251305	68	120.9071429	138.3823664	155.7835498	221	25.1466504	3	23	30.9524897	37	106	12.0448579	0	2	2.6706259	4	8	1.5224108	2.3517588	
Bowser	2	13.406%	4	10	13.1451143	17	20	4.2983029	47	106	122.0942861	138.4192943	209	23.6677056	3	24	32.438908	39	97	12.2829825	0	1	2.5507982	3.0440271	9	1.4619575	2.39266	
Bowser	1	28.378%	3	7	10.7583267	14.5614823	20	4.7376438	37	91.6150134	106.4431602	121	203	21.628527	3	24	32.8930862	39.6842404	104	12.9570296	0	1	2.3058003	3	9	1.4603586	2.5821411	
Bowser	0	52.382%	1	1	1	1	1	0	14	77	90.6593486	104	173	19.8775265	0	19	27.3480967	33	100	12.0439128	0	1	1.8503303	3	10	1.3560698	2.9165362	
